CaseID,StandID,Year,RmvCode,Age,Tpa,TPrdTpa,BA,SDI,ZeideSDI,ReinekeSDI,SDIMax,RDSDI,CCF,TopHt,QMD,GMD,TCuFt,TPrdTCuFt,MCuFt,TPrdMCuFt,SCuFt,TPrdSCuFt,BdFt,TPrdBdFt,RTpa,RTCuFt,RMCuFt,RSCuFt,RBdFt,PrdLen,Acc,Mort,MAI,ForTyp,SizeCls,StkCls,variant,config
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2088,0,125,228.0721893310547,228.0721893310547,120.4189453125,213,213,222,260,0.8207752704620361,204,68,9.838916778564453,9.580351829528809,3120.080322265625,3120.080322265625,2943.64306640625,2943.64306640625,1348.5452880859375,1348.5452880859375,7959.34228515625,7959.34228515625,0.0,0.0,0.0,0.0,0.0,5,40.809417724609375,30.998912811279297,23.552000045776367,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2093,0,130,211.32554626464844,211.32554626464844,120.4077377319336,210,210,219,260,0.809215247631073,201,69,10.220853805541992,9.968448638916016,3169.132080078125,3169.132080078125,3012.1123046875,3012.1123046875,1429.0965576171875,1429.0965576171875,8403.4541015625,8403.4541015625,0.0,0.0,0.0,0.0,0.0,5,39.91395568847656,30.526987075805664,23.169231414794922,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2098,0,135,196.99700927734375,196.99700927734375,120.39976501464844,208,208,216,260,0.801507294178009,199,70,10.585689544677734,10.339531898498535,3216.068359375,3216.068359375,3072.060302734375,3072.060302734375,1500.4305419921875,1500.4305419921875,8845.615234375,8845.615234375,0.0,0.0,0.0,0.0,0.0,5,38.32341766357422,29.913665771484375,22.755556106567383,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2103,0,140,184.69638061523438,184.69638061523438,120.39197540283203,206,206,213,260,0.793800950050354,196,71,10.932161331176758,10.69193172454834,3258.118896484375,3258.118896484375,3124.651611328125,3124.651611328125,1597.446533203125,1597.446533203125,9419.3623046875,9419.3623046875,0.0,0.0,0.0,0.0,0.0,5,37.41840362548828,29.361665725708008,22.321428298950195,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2108,0,145,174.00270080566406,174.00270080566406,120.3856201171875,204,204,211,260,0.7860947251319885,195,71,11.262778282165527,11.02835750579834,3298.40234375,3298.40234375,3175.198974609375,3175.198974609375,1674.5042724609375,1674.5042724609375,9859.193359375,9859.193359375,0.0,0.0,0.0,0.0,0.0,5,36.34446334838867,28.865320205688477,21.89655113220215,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2113,0,150,164.6045684814453,164.6045684814453,120.38021850585938,202,202,208,260,0.778387725353241,193,72,11.579578399658203,11.350653648376465,3335.794677734375,3335.794677734375,3220.61669921875,3220.61669921875,1756.6339111328125,1756.6339111328125,10353.99609375,10353.99609375,0.0,0.0,0.0,0.0,0.0,5,35.35537338256836,28.433340072631836,21.47333335876465,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2118,0,155,156.2480010986328,156.2480010986328,120.37600708007812,200,200,206,260,0.7706814408302307,192,73,11.88499641418457,11.661392211914062,3370.4072265625,3370.4072265625,3262.0126953125,3262.0126953125,1855.5269775390625,1855.5269775390625,10913.2080078125,10913.2080078125,0.0,0.0,0.0,0.0,0.0,5,34.63676452636719,27.899932861328125,21.045162200927734,801,1,2,NE,calibrated
bf0c4f19-9d25-4b2b-877d-c798eeb22403,H3D-N,2123,0,160,148.7891387939453,148.7891387939453,120.37132263183594,198,198,204,260,0.7629746198654175,190,73,12.179014205932617,11.960389137268066,3404.087646484375,3404.087646484375,3301.28662109375,3301.28662109375,1957.38427734375,1957.38427734375,11484.7841796875,11484.7841796875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.631250381469727,801,1,2,NE,calibrated
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2023,0,60,1495.6910400390625,1495.6910400390625,107.63412475585938,232,232,294,440,0.5276749730110168,263,59,3.6323773860931396,3.129074811935425,2082.3505859375,2082.3505859375,1667.976318359375,1667.976318359375,983.0978393554688,983.0978393554688,5817.76123046875,5817.76123046875,0.0,0.0,0.0,0.0,0.0,5,49.998897552490234,3.16620135307312,27.799999237060547,121,1,2,NE,default
0eb3af25-4b84-4e93-a4ea-339a25356a14,H4C-N,2028,0,65,1442.651611328125,1442.651611328125,119.77489471435547,259,259,318,440,0.588451623916626,300,61,3.901562452316284,3.4310483932495117,2316.51416015625,2316.51416015625,1817.671630859375,1817.671630859375,1059.6458740234375,1059.6458740234375,6265.59375,6265.59375,0.0,0.0,0.0,0.0,0.0,5,57.6536750793457,7.0479607582092285,27.96923065185547,801,1,2,NE,default
