StandID,Year,Period,BA_ft2ac,Tpa,QMD_in,Cords_ac
H4C-N,2106,16,173.2180005,218.83566306128816,12.05514842519685,31.27375334821428
H4C-N,2111,17,172.8325905,199.24506583834702,12.619847637795274,31.464475446428565
H4C-N,2116,18,172.2813846,179.94618221375478,13.258151574803149,31.68438169642857
H4C-N,2121,19,171.94369845,169.37320325045692,13.652301574803149,31.813877232142858
HS3C-N,2026,0,127.94457509999998,1619.1801555263798,3.808890157480315,15.530204241071427
HS3C-N,2031,1,135.86178825,1463.0393634057345,4.129103543307087,17.096686383928567
HS3C-N,2036,2,142.62233204999998,1325.790753932948,4.44417716535433,18.523592633928573
HS3C-N,2041,3,148.55864655,1199.576384118479,4.768371653543307,19.8995234375
HS3C-N,2046,4,153.08029319999997,1081.4148943674156,5.097985433070866,21.20469419642857
HS3C-N,2051,5,157.93715519999998,972.6572872277965,5.46005905511811,22.625926339285712
HS3C-N,2056,6,162.29153999999997,869.9441053091688,5.852445275590552,24.04015401785714
HS3C-N,2061,7,164.733456,775.073488325677,6.246756299212598,25.145431919642853
HS3C-N,2066,8,167.82206039999997,694.7437930276008,6.659586614173229,26.341860491071426
HS3C-N,2071,9,170.6882841,624.664946921603,7.082937007874015,27.466367187499998
HS3C-N,2076,10,172.62122399999998,562.2679246136452,7.507762598425197,28.412438616071423
HS3C-N,2081,11,173.85014249999998,507.7421999214221,7.928681496062992,29.17017857142857
HS3C-N,2086,12,175.25717175,458.7002489614376,8.375456692913385,29.973853794642853
HS3C-N,2091,13,177.14141339999998,421.2169293149794,8.787032677165355,30.776462053571425
HS3C-N,2096,14,179.73879405,387.7046684700841,9.225830708661418,31.73439508928571
HS3C-N,2101,15,180.2570748,354.4860718083333,9.662325590551182,32.18865401785714
HS3C-N,2106,16,184.6760745,328.1369653612506,10.165127559055119,33.462395089285714
HS3C-N,2111,17,185.640774,291.30996488936967,10.81668307086614,34.066377232142855
HS3C-N,2116,18,183.98057039999998,249.2823289948401,11.640599212598426,34.40238839285714
HS3C-N,2121,19,183.36269639999998,236.14412463568436,11.939936220472442,34.63747767857143
S2A-N,2026,0,160.37192849999997,3302.5215604180426,2.9859081102362204,13.016440178571427
S2A-N,2031,1,174.35648249999997,2816.800370187422,3.3711350393700785,15.68671651785714
S2A-N,2036,2,184.90629825,2387.367674838037,3.7709547244094486,18.288176339285712
S2A-N,2041,3,192.60170054999998,2014.416428484106,4.189773228346456,20.762143973214283
S2A-N,2046,4,198.1532184,1697.465378959883,4.629511811023622,23.114556919642855
S2A-N,2051,5,202.24504589999998,1433.1136695337143,5.090186614173228,25.3800546875
S2A-N,2056,6,204.75041099999999,1213.4267906925484,5.56596811023622,27.395988839285714
S2A-N,2061,7,204.85866074999998,1029.477700917187,6.044408464566929,28.911017857142852
S2A-N,2066,8,204.41840594999996,879.3180816516517,6.533142125984251,30.203955357142853
S2A-N,2071,9,203.7805785,756.3543492584382,7.033214566929134,31.344424107142856
S2A-N,2076,10,202.5286224,654.3345961877809,7.53838622047244,32.290666294642854
S2A-N,2081,11,200.4027078,569.8303256786616,8.03552244094488,32.94397767857143
S2A-N,2086,12,199.03923074999997,506.4461132150349,8.4945,33.63759151785714
S2A-N,2091,13,196.34479289999996,465.9606331316537,8.795695275590552,33.93890178571428
S2A-N,2096,14,193.41959624999998,436.88243193160275,9.01577401574803,34.133454241071426
S2A-N,2101,15,191.86199175,413.44324187615194,9.230423622047244,34.519573660714286
S2A-N,2106,16,190.76450849999998,392.8359205393715,9.44231062992126,34.994091517857136
S2A-N,2111,17,189.07783949999998,375.3678428539649,9.61671811023622,35.25616741071428
S2A-N,2116,18,189.4381326,360.13464972151587,9.827348818897638,35.87235491071428
S2A-N,2121,19,191.8205406,345.097259690206,10.102105511811024,36.86739732142857
S3B-N,2026,0,198.70594244999998,1836.1000367573258,4.457510236220472,25.03372433035714
S3B-N,2031,1,202.55335649999998,1563.7857326345343,4.876589763779528,26.419367187499997
S3B-N,2036,2,205.67777009999998,1350.2796985443574,5.288309842519685,27.60695870535714
S3B-N,2041,3,207.00173174999998,1179.8348877132612,5.675596062992126,28.437391741071423
S3B-N,2046,4,211.2391581,1050.3271052051525,6.076591338582677,29.757257812499994
S3B-N,2051,5,214.54705904999997,938.1264730899591,6.479861023622046,30.90764508928571
S3B-N,2056,6,218.09895149999997,846.227219966016,6.878890551181102,32.11552120535714
S3B-N,2061,7,221.05073099999998,766.3781698052228,7.2771200787401575,33.210825892857144
S3B-N,2066,8,223.61834894999998,697.3538535457619,7.672947244094488,34.231734374999995
S3B-N,2071,9,227.55750449999996,641.3221317045242,8.071283070866142,35.384205357142854
S3B-N,2076,10,231.39914609999997,589.1938052254674,8.491549212598425,36.53183370535714
S3B-N,2081,11,233.1871875,547.4414162705042,8.843386614173228,37.28241629464286
S3B-N,2086,12,234.88547099999997,510.27532969899426,9.193076377952757,37.999631696428565
S3B-N,2091,13,236.68729754999998,480.89057912495,9.50603622047244,38.741214285714285
S3B-N,2096,14,238.72095299999998,453.0956765649917,9.83525,39.422897321428565
S3B-N,2101,15,241.23072899999997,428.7019949537646,10.164210629921259,40.18820982142857
S3B-N,2106,16,241.88936249999998,404.79197743471144,10.474361023622047,40.63107589285714
S3B-N,2111,17,245.106144,388.39218890767773,10.764081496062992,41.43444196428571
S3B-N,2116,18,248.26567949999998,371.0763580077365,11.083114173228346,42.239171875
S3B-N,2121,19,251.61198224999998,354.86815171059334,11.409516929133858,43.06043526785714
S3C-N,2026,0,143.45506559999998,2370.453271860911,3.333322637795275,15.423277901785712
S3C-N,2031,1,153.065277,2177.469372779824,3.592505118110236,17.045768973214283
S3C-N,2036,2,161.9309511,1980.3623745013863,3.8746074803149604,18.705609374999998
S3C-N,2041,3,169.6177404,1782.2262606347438,4.180125196850394,20.345386160714284
S3C-N,2046,4,175.5676095,1592.439378127316,4.499101968503937,21.929656249999997
S3C-N,2051,5,179.5916727,1416.6360842388174,4.824463779527559,23.315672991071427
S3C-N,2056,6,183.6246621,1258.865744442583,5.1750062992125985,24.76444419642857
S3C-N,2061,7,187.80036195,1122.1490133093864,5.54316811023622,26.296899553571425
S3C-N,2066,8,190.35649154999996,1001.5926343961385,5.907087401574803,27.51204464285714
S3C-N,2071,9,191.90794079999998,896.9810721297846,6.267436220472441,28.546595982142854
S3C-N,2076,10,192.65710649999997,810.3212030787344,6.6069196850393705,29.43776339285714
S3C-N,2081,11,194.73279599999998,740.386505998501,6.949049212598425,30.505320312499997
S3C-N,2086,12,196.2407496,677.8755646822539,7.290456692913385,31.452178571428565
S3C-N,2091,13,196.450176,625.130942438637,7.595840157480315,32.14767299107143
S3C-N,2096,14,195.92587049999997,579.7537841861716,7.8769700787401575,32.57564508928571
S3C-N,2101,15,196.5941349,547.0605261440323,8.122742125984253,33.17883035714286
S3C-N,2106,16,197.45471279999998,515.9522194197077,8.38231811023622,33.75016964285714
S3C-N,2111,17,198.1929165,488.4726479121791,8.630958267716535,34.31222433035714
S3C-N,2116,18,198.58708305,462.6895995540295,8.876989763779529,34.80331919642857
S3C-N,2121,19,198.45524325,441.24486221777147,9.087125984251967,35.05834821428571
S3D-N,2026,0,142.08555074999998,2523.4565766658698,3.2152307086614176,13.200275669642854
S3D-N,2031,1,154.3852236,2266.7199583753363,3.5362181102362205,15.385104910714285
S3D-N,2036,2,164.5716099,2002.8479228409096,3.8840838582677164,17.429479910714285
S3D-N,2041,3,173.68051859999997,1728.0635389636059,4.295668503937008,19.47948214285714
S3D-N,2046,4,181.40433074999999,1492.7124524998715,4.723575590551182,21.54174107142857
S3D-N,2051,5,187.55282954999998,1294.615552671962,5.157349212598425,23.52436607142857
S3D-N,2056,6,192.6459705,1121.1143939964475,5.616814960629921,25.410376116071426
S3D-N,2061,7,196.07002949999998,974.3181171035305,6.078414960629921,26.971229910714282
S3D-N,2066,8,199.2897516,852.1759775011832,6.552588976377953,28.455779017857143
S3D-N,2071,9,201.11073555,748.7313262842151,7.022467322834646,29.57897544642857
S3D-N,2076,10,202.82804159999998,661.8723518971851,7.5008759842519686,30.69765178571428
S3D-N,2081,11,204.07530839999998,585.2110510088439,8.001549212598425,31.70480357142857
S3D-N,2086,12,202.5310932,499.428904647238,8.62867559055118,32.3586015625
S3D-N,2091,13,202.6263756,450.479545762197,9.087523622047243,32.98470982142857
S3D-N,2096,14,202.70083454999997,395.3462665152859,9.702285433070866,33.744520089285714
S3D-N,2101,15,203.89306949999997,356.29525134679784,10.250175590551182,34.501361607142854
S3D-N,2106,16,204.9996225,320.9138932072486,10.829723622047243,35.26383482142857
S3D-N,2111,17,205.5418326,297.1342815895494,11.269608267716535,35.79407366071428
S3D-N,2116,18,205.73151,274.5410464006274,11.729564173228345,36.29438839285714
S3D-N,2121,19,203.57893424999997,251.8646685465081,12.181981102362204,36.36453794642857
S4C-N,2026,0,168.1555575,1791.9964242209753,4.150707480314961,23.03186495535714
S4C-N,2031,1,173.44134689999998,1571.5129216930688,4.50145,24.561493303571424
S4C-N,2036,2,177.05265599999998,1376.6206060603283,4.859361023622047,25.799718749999997
S4C-N,2041,3,180.18935399999998,1211.432580784741,5.225766929133858,26.98261607142857
S4C-N,2046,4,184.19136269999998,1075.8817894553886,5.606443307086614,28.318188616071428
S4C-N,2051,5,186.962478,955.5746564291934,5.993493700787401,29.532926339285712
S4C-N,2056,6,190.020789,851.09024639163,6.402474409448819,30.778588169642852
S4C-N,2061,7,191.8884093,761.5953116053357,6.801384645669292,31.790454241071426
S4C-N,2066,8,193.19572349999999,684.857322787791,7.196707086614173,32.67399218749999
S4C-N,2071,9,193.3713417,620.9279178269447,7.5615456692913385,33.29056696428571
S4C-N,2076,10,194.23235024999997,569.0816167719619,7.916051574803149,34.01369754464285
S4C-N,2081,11,195.6920058,528.0358494169059,8.248784251968504,34.77656473214286
S4C-N,2086,12,197.56924395,492.5694020742203,8.58145748031496,35.507641741071424
S4C-N,2091,13,197.95750754999997,459.3999099682983,8.894583858267715,36.00525223214285
S4C-N,2096,14,199.70784749999999,432.7568236832701,9.204722440944883,36.7373359375
S4C-N,2101,15,198.74203439999997,406.2329577884446,9.47746968503937,36.85479464285714
S4C-N,2106,16,197.66330399999998,384.55028552883425,9.714524409448819,36.876470982142855
S4C-N,2111,17,195.5630196,365.71121787151907,9.908532677165354,36.66892410714286
S4C-N,2116,18,193.98837179999998,347.61594219035044,10.122157874015747,36.61755580357143
S4C-N,2121,19,194.85975074999996,334.4356545712586,10.342842125984252,37.04936383928571
