"forest_type","density_class","Year","TPA","BA","QMD","Cords","NetCords","BdFt","n_stands"
"Commercial Softwood","A+B (high)",2098,245.335323163085,93.671495905897,8.36683666026288,30.990634931252,30.990634931252,6225.19757072061,2
"Commercial Softwood","A+B (high)",2043,344.038052963219,115.493455229915,7.89812024527905,30.7065790564739,30.7065790564739,5789.09030559913,2
"Commercial Softwood","A+B (high)",2033,346.021358672623,119.578908730575,7.90969346208293,30.3691010302663,30.3691010302663,5773.46738063724,2
"Commercial Softwood","A+B (high)",2078,294.639061756875,97.2939240945915,7.88706118404335,29.5767482501148,29.5767482501148,5839.89097678475,2
"Commercial Softwood","A+B (high)",2123,210.357339574917,97.6453500925407,9.22883011112012,35.8875236279189,35.8875236279189,8022.68375803508,2
"Commercial Softwood","A+B (high)",2113,228.190045214796,97.4358227181868,8.84746759348366,34.3238806430593,34.3238806430593,7311.03286989079,2
"Commercial Softwood","A+B (high)",2048,351.340242702473,114.25408600879,7.8362783590237,30.8923872421063,30.8923872421063,5755.39336295517,2
"Commercial Softwood","A+B (high)",2083,293.378310072178,96.4379519122296,7.82270487693082,29.7741524938514,29.7741524938514,5945.05690965074,2
"Commercial Softwood","A+B (high)",2118,222.167587246393,98.641409880459,9.02328091945865,35.4854454541921,35.4854454541921,7714.85264938214,2
"Commercial Softwood","A+B (high)",2053,335.611532291971,110.029012385072,7.88030553833581,30.4403248459379,30.4403248459379,5629.14533173799,2
"Commercial Softwood","A+B (high)",2088,266.45751856474,92.3284878665217,7.98733159542947,29.2177959615513,29.2177959615513,5955.59857644674,2
"Commercial Softwood","C+D (low)",2058,231.74798547454,83.4990455561385,8.278961860047,24.1520948228668,24.1520948228668,5128.53868171393,3
"Commercial Softwood","C+D (low)",2093,250.508064923802,94.0308110210311,8.29982945361678,30.1375739828987,30.1375739828987,6185.79196384804,3
"Commercial Softwood","C+D (low)",2028,301.280960656793,109.917130500083,8.24668148705884,28.1305902717669,28.1305902717669,6275.63145170716,3
"Commercial Softwood","C+D (low)",2063,233.359481525801,82.2995280600689,8.15712416346032,24.1433502860561,24.1433502860561,5150.77599369922,3
"Commercial Softwood","C+D (low)",2098,240.611534638641,95.1766535491078,8.52025663923283,31.1838523127422,31.1838523127422,6549.98517761061,3
"Commercial Softwood","C+D (low)",2033,297.328528219947,107.690574566527,8.2538424214732,28.191764571141,28.191764571141,6179.49921215707,3
"Commercial Softwood","C+D (low)",2023,310.544168342344,111.559576457818,8.15642889679452,27.7874939561762,27.7874939561762,6274.71358736276,3
"Commercial Softwood","C+D (low)",2068,226.788299774929,80.8140850802649,8.12897869163177,24.14267462491,24.14267462491,5138.51822043421,3
"Commercial Softwood","C+D (low)",2113,219.248661286821,97.6697756400399,9.04247209627912,34.0817579930528,34.0817579930528,7448.89894841525,3
"Commercial Softwood","C+D (low)",2103,233.025696258206,96.2318264233687,8.70282909425291,32.2046977704424,32.2046977704424,6801.56275742086,3
"Commercial Softwood","C+D (low)",2048,260.121351176719,93.8199199973715,8.30527467838526,26.1711934650403,26.1711934650403,5565.26586966125,3
"Commercial Softwood","C+D (low)",2038,272.5845085887,102.130921544738,8.4215694653173,27.5015263798263,27.5015263798263,6037.2646731504,3
"Commercial Softwood","C+D (low)",2083,262.682756442466,90.2438162881599,7.94017392776183,27.791093782172,27.791093782172,5700.83447515964,3
"Commercial Softwood","C+D (low)",2073,239.830301896895,82.2507188932306,7.9439533573338,24.7477386916333,24.7477386916333,5315.01343378031,3
"Commercial Softwood","C+D (low)",2118,211.57205330319,98.6848062207614,9.25253099586353,35.1903901514874,35.1903901514874,7968.93679272297,3
"Commercial Softwood","C+D (low)",2108,230.699169827569,98.4297820722123,8.84584028831924,33.6170397663044,33.6170397663044,7183.33374068479,3
"Commercial Softwood","C+D (low)",2053,238.997373718488,87.6874653967421,8.34443254446595,24.9907401334614,24.9907401334614,5361.92589571435,3
"Commercial Softwood","C+D (low)",2043,267.600951849863,98.1748409377959,8.34245083832092,26.9293564033197,26.9293564033197,5838.18438023066,3
"Commercial Softwood","C+D (low)",2088,254.925525414516,91.4315398819944,8.11299251227015,28.7188282806218,28.7188282806218,5842.45384942232,3
"Commercial Softwood","C+D (low)",2078,260.906026584796,87.7807368343679,7.86394263480789,26.6108357067633,26.6108357067633,5532.96940942836,3
"Commercial Softwood","C+D (low)",2123,204.152330697455,99.4396819874614,9.45463857351028,36.2311888648021,36.2311888648021,8528.15465014108,3
