CN,LAT,LON,BGI
18045845010661,44.50008,-67.72166,4072.0
18045947010661,45.50007,-67.69389,4380.0
18046025010661,45.38896,-67.66611,4145.0
18046043010661,44.86119,-67.77722,4081.0
18046124010661,44.86119,-67.66611,4184.0
18046154010661,44.75008,-67.63833,3674.0
18046178010661,44.7223,-67.69389,3914.0
18046217010661,44.63897,-67.52721,0.0
18046289010661,45.55562,-67.61056,3949.0
18046368010661,45.55562,-67.52722,4688.0
18046437010661,45.38896,-67.58278,4652.0
18046447010661,45.19452,-67.61055,3982.0
18046449010661,45.08341,-67.61055,4306.0
18046481010661,44.69452,-67.58277,3714.0
18046589010661,44.69452,-67.61055,3745.0
18046654010661,44.58341,-67.58277,3602.0
18046656010661,45.50007,-67.52722,4618.0
18046775010661,45.47229,-67.49944,4603.0
18046838010661,45.44451,-67.47167,0.0
18046906010661,45.30563,-67.49944,4436.0
18046936010661,45.19452,-67.52722,4449.0
18047000010661,45.11119,-67.47166,4284.0
18047056010661,44.9723,-67.47166,3490.0
18047122010661,44.75008,-67.49944,3365.0
18047225010661,44.69452,-67.52722,3355.0
18047278010661,44.63897,-67.52721,0.0
18047367010661,44.69452,-67.66611,3817.0
18047434010661,45.55562,-67.44389,2439.0
18047501010661,45.36118,-67.44389,4330.0
18047554010661,44.83341,-67.4161,3678.0
18047621010661,45.05563,-67.30499,3880.0
18047720010661,45.02785,-67.24943,3938.0
18047745010661,44.91674,-67.33277,4077.0
18047844010661,44.61119,-67.30499,3862.0
18047970010661,44.94452,-67.33277,3230.0
18048004010661,44.91674,-67.22165,4107.0
18048058010661,44.80563,-67.27721,3717.0
18048140010661,44.83341,-67.22165,3377.0
18048180010661,44.75008,-67.27721,3492.0
18048247010661,44.75008,-67.22165,3467.0
18048277010661,44.75008,-67.24943,3564.0
18048330010661,44.69452,-67.24943,3583.0
18048417010661,44.9723,-67.1661,3132.0
18048483010661,44.91675,-67.13832,3497.0
18048577010661,44.91675,-67.1661,3928.0
18048660010661,44.94452,-67.1661,4129.0
18048724010661,44.88897,-67.19387,0.0
18048787010661,44.83341,-67.1661,3939.0
18048834010661,44.80563,-67.13832,3762.0
18048931010661,45.02786,-67.11054,3349.0
18049000010661,44.94452,-67.11054,3936.0
18049002010661,44.80564,-67.11054,3743.0
18049004010661,44.75008,-67.08276,3284.0
18049132010661,44.94452,-67.05498,3571.0
18049134010661,44.80564,-67.05498,3679.0
18049256010661,44.91674,-67.4161,4164.0
18049266010661,44.9723,-67.38832,3744.0
18049339010661,44.94452,-67.49944,3332.0
18049395010661,44.80564,-66.99943,3435.0
18049410010661,45.13896,-67.22166,3972.0
18049494010661,44.75008,-67.13832,3690.0
18049528010661,44.66675,-67.1661,3092.0
18049578010661,44.88897,-67.27721,3087.0
18049654010661,45.00008,-67.27721,3280.0
18049716010661,44.7223,-67.47166,3991.0
18049751010661,45.02785,-67.44388,3507.0
18049788010661,45.13896,-67.41611,4178.0
18049881010661,44.94452,-67.58277,2953.0
18049889010661,44.94452,-67.74944,4225.0
18049891010661,44.91674,-67.77722,4233.0
18049944010661,45.11119,-67.52722,4201.0
18049972010661,45.16674,-67.52722,3736.0
18050025010661,45.11118,-67.58277,2629.0
18050084010661,45.11118,-67.58277,2629.0
18050110010661,45.02785,-67.74944,4626.0
18050171010661,45.41674,-67.555,4775.0
18050267010661,45.55562,-67.44389,2439.0
18050360010661,45.55562,-67.58278,4263.0
18050410010661,45.5834,-67.61056,2271.0
18050413010661,45.3334,-67.66611,3986.0
18050419010661,45.61118,-67.83279,2853.0
18050444010661,45.50007,-67.63834,4799.0
18050466010661,45.50007,-67.63834,4799.0
18050532010661,45.61118,-67.66612,2683.0
18050599010661,45.5834,-67.66612,4556.0
18050648010661,45.52785,-67.74945,2916.0
18050656010661,45.61118,-67.72167,4358.0
18050675010661,44.66674,-67.74944,3914.0
18050740010661,44.50008,-67.88833,3880.0
18050756010661,45.02785,-67.77722,4649.0
18050761010661,45.11118,-67.77722,4231.0
18050788010661,45.11118,-67.74944,2680.0
18050792010661,45.00007,-67.83278,4352.0
18050870010661,45.30563,-67.72167,3662.0
18050922010661,45.5834,-67.80501,4310.0
18050960010661,45.5834,-67.99946,4302.0
