"BA_pred","TPA","QMD_in","BA_t2","QMD_t2","TPA_t2","config","PLT_CN","residual","relresid","BGI","SICOND","FORTYPCD","BA_t1","interval","ClimateSI_ft"
95.8415494242768,470.894895218259,6.11293849920639,37.5886429640206,11.2801694234715,54.162414,"csi_scale_0.7","171138174020004",58.2529064602562,1.54974752656049,4436,47,103,31.4608519137464,5,46.72
102.931520720181,397.680072047352,6.89354134699904,104.373664450879,5.93470655361297,543.331698,"csi_scale_0.7","53023396010538",-1.44214373069831,-0.0138171227223417,4425,57,801,99.2199794652104,5,45.61
107.357122331495,349.805220704673,7.50649832709834,121.851843445984,6.92687934810714,465.617686,"csi_scale_0.7","107545868010661",-14.494721114489,-0.11895364653153,5082,51,809,117.101444920006,5,49.27
80.4831414673838,681.66332540734,4.65588880917507,90.8511487376257,4.79873232893346,723.352492,"csi_scale_0.7","171138058020004",-10.3680072702419,-0.114120816459726,3849,46,121,83.281044012225,5,45.69
110.564215546567,879.903946113283,4.80313470194791,86.8065343755271,4.04583147095075,972.320522,"csi_scale_0.7","75975887010538",23.7576811710397,0.273685401012134,4207,65,809,113.305768048962,5,45.17
95.1943673486627,678.626488839345,5.07487473514183,99.1859257313825,4.7549135568586,804.33582,"csi_scale_0.7","304030406489998",-3.99155838271984,-0.0402431933087953,1946,43,127,88.2419838347664,5,45.25
90.5170914916009,1162.02164007106,3.78175414900713,94.8351853401451,3.75058427362362,1236.073374,"csi_scale_0.7","75976697010538",-4.31809384854421,-0.0455326135869985,4446,57,520,85.0875890010905,5,51.98
141.616116707858,453.812442995651,7.56925690201594,157.005092794003,7.1400545168919,564.655152,"csi_scale_0.7","304030633489998",-15.3889760861455,-0.0980157765094692,3795,57,801,159.903043456859,5,47.67
165.99083797974,1252.34464584067,4.93304675470436,104.567642153743,4.42059915748937,981.087298,"csi_scale_0.7","75976531010538",61.4231958259974,0.58740155712499,3464,42,123,110.607496437792,5,45.71
78.0472849557116,1275.09694009229,3.3522963389169,30.7744301642436,3.13827787914899,572.901342,"csi_scale_0.7","247056841010661",47.272854791468,1.53610820863854,3778,45,902,30.0875715804274,5,45.24
17.6958557826337,156.327766137209,4.55882402923306,23.8588622426434,3.19328867763473,428.988824,"csi_scale_0.7","70416661010538",-6.16300646000968,-0.258310995609607,4634,48,801,15.5383327214001,5,44.87
161.671475267142,904.897020046879,5.72733025146459,1.22135682136538,6.1,6.018046,"csi_scale_0.7","168929421010661",160.450118445777,131.370387129297,3553,52,801,173.661902707369,5,46.73
29.2893831412347,313.597083076502,4.14099026960782,39.6347284884916,2.61237958122892,1064.819356,"csi_scale_0.7","107545612010661",-10.3453453472569,-0.261017187244281,5049,60,901,22.7763707756307,5,46.44
168.641425525898,2018.03000514425,3.91699869923781,172.258691753141,4.07145237738913,1905.263452,"csi_scale_0.7","168929401010661",-3.61726622724348,-0.0209990345940121,3855,56,121,158.659501615309,5,46.17
134.473881774496,275.40337115275,9.46824417601524,159.527329830429,7.37802148848349,537.313652,"csi_scale_0.7","52967287010538",-25.0534480559332,-0.157047999753797,3992,61,801,163.343173548138,5,45.97
41.8126240732093,751.199564247343,3.19676824772669,46.8147901578868,3.31781441449713,779.74305,"csi_scale_0.7","75829461010538",-5.00216608467745,-0.106850122959159,4622,83,901,34.8759733771052,5,47.29
126.591264985386,1150.1198157223,4.49536988041458,156.688074959891,4.71676866610052,1291.27696,"csi_scale_0.7","375823690489998",-30.0968099745052,-0.19208105008763,3849,38,121,124.652938304675,5,45.84
144.463830020793,1389.52775300665,4.36899003654899,170.317574154011,4.0202493797422,1932.084366,"csi_scale_0.7","107545142010661",-25.8537441332184,-0.151797277888892,3994,53,127,145.30472911151,5,44.65
82.5549244902524,557.341769555424,5.21489778978328,80.0077120082128,3.86677056867369,981.087298,"csi_scale_0.7","70399879010538",2.54721248203963,0.0318370869270472,4804,65,801,84.5970018452585,5,45.92
103.150503417836,591.93341197531,5.65632497579927,115.792571772632,5.65578851509391,663.692618,"csi_scale_0.7","107546338010661",-12.6420683547958,-0.109178578221921,3663,43,125,105.735972237676,5,45.37
90.134947836326,1052.75160450654,3.96477690122659,82.1439033319263,4.11057861648714,891.337194,"csi_scale_0.7","304030221489998",7.99104450439974,0.0972810419308856,4791,50,902,81.3072026485182,5,45.06
95.2262421376722,423.887517208738,6.42226340733638,13.5105327041061,5.00118341137862,99.037466,"csi_scale_0.7","171137481020004",81.7157094335661,6.04829663072657,3289,44,125,98.0691531816628,5,46.37
55.4795415231475,491.37152340582,4.55298840529288,47.2280079703715,3.26334842461814,813.102596,"csi_scale_0.7","171137762020004",8.251533552776,0.174716950965889,4399,52,801,48.0536836613131,5,47.05
148.821751112946,1688.85359382597,4.02228008440694,30.9677691521959,5.56572507244737,183.29011,"csi_scale_0.7","304030263489998",117.85398196075,3.80569815609056,4133,54,905,47.4806995604727,5,47.6
103.626207784572,1338.0879345733,3.77074861299054,75.0095644244826,3.62945109101141,1044.016488,"csi_scale_0.7","171137810020004",28.6166433600898,0.38150659292123,3962,55,901,102.409785763282,5,47.08
213.828081940856,1077.92959335943,6.03493055855982,226.033049545656,7.01776819714167,841.485268,"csi_scale_0.7","107545470010661",-12.2049676048005,-0.0539963851716968,3847,42,701,245.052776502943,5,45.75
144.848423080154,1864.14424611103,3.77704564341895,157.252774636944,3.83913743828525,1956.15655,"csi_scale_0.7","451063344489998",-12.4043515567895,-0.0788816069250795,4183,55,902,135.535718911057,5,46.4
139.62929984412,745.443693924397,5.8642970670998,63.8368643682536,5.82238580646474,345.256766,"csi_scale_0.7","145023681010661",75.7924354758663,1.18728318231054,3644,64,801,74.9444065122118,5,44.91
69.5382205628003,154.690236815362,9.08480142720524,82.6763514225058,5.80189763965368,450.312278,"csi_scale_0.7","107545700010661",-13.1381308597055,-0.158910385299479,2889,61,103,63.5046465081553,5,50.72
86.1772045404288,1301.04165644026,3.48727105227249,101.886108157597,3.63621562967915,1412.824852,"csi_scale_0.7","75975857010538",-15.7089036171682,-0.154181015461595,4329,48,801,84.399922712385,5,46.46
99.5928761233215,847.062071460628,4.64613285189752,71.6966863824506,3.36074893141626,1163.856822,"csi_scale_0.7","70600995010538",27.8961897408709,0.389086178851623,4179,53,801,98.9613545067985,5,46.6
147.890763363891,1535.52399142073,4.20510967020486,101.374483469678,3.83138433976887,1266.163604,"csi_scale_0.7","70392151010538",46.5162798942129,0.458855900440927,2987,44,121,85.8363667254638,5,47.02
68.5705599487161,420.646881945142,5.4707279122174,25.2606637684506,4.2124523510343,261.004122,"csi_scale_0.7","171137921020004",43.3098961802655,1.71451932448258,4442,59,126,29.6221057540979,5,45.09
168.182699722533,1586.13388614352,4.41220662832714,193.760823524688,4.3840642889658,1848.352308,"csi_scale_0.7","451063503489998",-25.5781238021546,-0.132008748398489,3965,40,801,167.111042886044,5,46.04
89.7498111207341,1078.6333343855,3.9085435687194,55.1675917915478,3.71695582881866,732.119268,"csi_scale_0.7","53013559010538",34.5822193291863,0.626857511922146,4726,54,505,62.021724532103,5,50.4
10.0554808618914,86.4891246318099,4.62014680790243,15.791339614939,2.12387767827361,641.848578,"csi_scale_0.7","509641967126144",-5.73585875304764,-0.363228129652874,3522,45,809,8.12312244427586,5,45.05
158.422492609531,1059.06209536012,5.24062173164163,146.730145888065,5.00342097217942,1074.627304,"csi_scale_0.7","451063671489998",11.6923467214664,0.0796860566770376,2207,40,902,162.229670171804,5,43.82
173.949103670544,1289.70487578054,4.97623671784948,154.846228532295,4.63227603703207,1323.074748,"csi_scale_0.7","52705919010538",19.1028751382487,0.123366744668661,3562,42,701,199.896947887167,5,46.06
162.882765537293,1630.8081309713,4.28224230688857,138.61551804318,4.77160840501583,1116.23304,"csi_scale_0.7","171137623020004",24.2672474941131,0.175068764570455,4424,52,127,168.495871838639,5,45.42
56.3505613481507,242.598985812998,6.53039930876089,3.02974289915392,1.36106575888162,299.861128,"csi_scale_0.7","375823396489998",53.3208184489968,17.5991231678064,3825,62,801,53.2649567430734,5,47.68
213.538240753171,1195.72004768602,5.72609012788882,228.761434245471,6.92820589107691,873.803642,"csi_scale_0.7","53049083010538",-15.2231934923001,-0.0665461533868727,4328,48,127,255.464320070062,5,44.84
142.416036608929,778.335989308158,5.79603495842562,51.6095832842902,5.64340338459033,297.112398,"csi_scale_0.7","509642279126144",90.8064533246387,1.75948821025028,4170,55,127,50.0465036387676,5,45.61
221.697061042558,1858.50637504837,4.67986198098196,223.384647567869,6.08887898906507,1104.717534,"csi_scale_0.7","70380279010538",-1.68758652531096,-0.00755462178661243,4495,42,127,231.687343786273,5,45.44
