SPCD,n,B0,B1,B2,B3,B4,B5,B6
372,26017,-2.77524107418884,-0.509384465405968,-0.174689792565155,1.73235719608408,0.545978185601842,2.76108878828058e-05,-0.0270395440369522
375,55078,-3.48449825580721,-0.493941862878923,-0.102786192330911,2.20880395523326,0.532917240071533,-6.29759924351111e-05,-0.00696364052547511
391,9754,-1.55684949260112,-0.377295302907644,-0.713630640534371,1.67932962245585,0.261219539273449,-8.83980969169162e-06,0.0189053431054003
402,11395,-2.90445835792944,-0.248747234348362,-0.043986075715909,2.95561178853538,0.763788045722038,-3.89541931814561e-05,-0.00502834634954977
403,26404,-3.46208787697719,-0.157013953551297,-0.0396489950102368,4.50474727088574,0.807796444727052,-8.35736211611915e-05,-0.00411237127331039
407,19223,-3.61508197684586,-0.149603801367506,-0.0237109107081779,5.12357682370099,0.850074222922084,-1.57492477470531e-05,0.00523491806660379
408,11093,-3.45197406215356,-0.250561256517484,-0.0338866880364341,2.87916431201886,0.853637294857811,4.51275771346787e-06,-0.00735867736794802
409,26055,-3.03194127693987,-0.275841169017911,-0.0545713212033773,2.56653222024194,0.76806629604194,-4.77404712488234e-05,-0.00829813687859666
462,9425,-4.13676112422842,-0.329864237312836,-0.0550415685850912,3.48482158541338,0.667737561421558,8.86195790774369e-05,-0.0212592944728889
491,8056,-2.30453889280608,-0.596826570803325,-0.198158015301873,1.51215474223169,0.464044081172918,-3.82198551622825e-05,0.0136972945117155
531,71357,-3.05311605297043,-0.314574035358234,-0.0697484311970299,2.52016042990692,0.67938516223367,-2.31718312251475e-05,-0.00957595939703226
541,37842,-3.23983089077878,-0.356053366425453,-0.0442688629667593,3.13661987078455,0.753727052627525,3.26377028961321e-05,0.00704564721328175
543,43965,-2.24894352019408,-0.31705843579763,-0.0857484254577802,3.27708393254677,0.544782132782968,-3.34183051190494e-05,0.0420074577478273
544,29208,-2.81056647064603,-0.240291431366113,-0.0774516557191105,3.58743116782855,0.60891950045991,-1.35909003592793e-05,0.0139652415241784
591,9011,-1.90886033663703,-0.50108326034972,-0.360817833562663,1.65251891583903,0.315590036326576,-1.59525041595858e-05,0.0284116492450855
602,10812,-4.05331683693786,-0.534091697941278,-0.0634861913493207,2.52664333254849,0.633649383866814,-6.58484495011867e-05,-0.0373111049803868
611,78754,-2.67819140545004,-0.485116056113171,-0.09113768229518,2.11478471682508,0.657544012041307,-0.000225077049262861,-0.0122824399306788
621,62101,-2.24801925119879,-0.479797520863289,-0.0309872251474529,2.09066416068844,0.8902157941543,-0.000177418810782764,-0.010541717509076
631,9202,-2.25662300808991,-0.313937025699154,-0.177797463872785,2.39743234024138,0.474197126633987,7.01554087615177e-05,0.0368520352559285
653,7256,-2.45994906207398,-0.18536111077985,-0.0488454074830946,3.09597424252499,0.689895580971251,0.000214064427288067,0.0165209076424815
693,33214,-2.12658751834431,-0.312971421912668,-0.176823592020117,2.14132739850163,0.511146943680193,-4.70210447090935e-05,0.0147546399750555
694,9073,-2.78829093287348,-0.150057711309386,-0.0242678093265199,3.31677433229876,0.784155277320485,0.000326593774975485,0.0155210039657655
701,21662,-2.61340167334902,-0.475880705618636,-0.187171396996854,1.76941578845606,0.483579562278561,5.62843428039013e-05,0.0103089816950188
711,21644,-3.10081912513787,-0.267034138273833,-0.083733723800029,2.48640529980451,0.591942474292361,-4.89511264666553e-05,-0.0155703301671846
741,11144,-2.71306746173052,-0.416500439578696,-0.12979575211144,2.7328535029998,0.480942923556565,5.14966967819093e-05,0.0189710672986849
743,27178,-3.56335316967436,-0.356297812036734,-0.0181613147259801,3.28051136948737,0.883393396534567,2.96748341978918e-05,0.000273252937556439
746,149764,-3.51424654607684,-0.316822332734876,-0.0741685996813358,3.37632690069051,0.575462120355317,-4.5434707404724e-05,-0.00439838661528567
762,48977,-3.34336618208602,-0.377285132151772,-0.0676551049372812,3.15344222123047,0.667467133669118,3.93281669544744e-07,0.00336587063958223
802,103638,-1.97395734855122,-0.195796659177378,-0.0249947518595458,2.73874721344029,0.927118813846354,-6.03773928309931e-05,0.0201425309994487
806,20991,-2.52342163329271,-0.156328891801025,-0.0284338222170407,4.38999513095867,0.850400837603969,-6.2811398398868e-05,0.0157893174010024
809,8767,-2.70948114537877,-0.25188125906783,-0.0766207895045134,3.45706160406387,0.661332613795784,-0.000251113571461231,0.00398395073428519
812,18652,-2.09126565494476,-0.323828729237812,-0.063697110375193,2.04030096162956,0.771551770340443,-0.000169385922609159,-0.0122883556617884
820,9473,-2.32070037508288,-0.146969732727789,-0.0707090871010805,3.94078665263754,0.674604846177039,0.00021122123255514,0.0115458560259235
823,18982,-1.84116199676158,-0.299859486990936,-0.0862723887820446,3.33772731368971,0.617404490189773,0.000180188791268188,0.0539783257486458
826,5099,-3.28427920613918,-0.334128579291061,-0.0322678580489545,3.03771654685455,0.847868467472006,-0.000256511930858609,-0.00293532258892744
827,33194,-1.93128484327889,-0.219844872654341,-0.0510428061262672,3.00877246461605,0.782051258229083,0.000117083761955835,0.0245079368792983
