SPCD,n,B0,B1,B2,B3,B4,B5,B6
711,39842,-3.13801511000427,-0.199266433719221,-0.0474959590157527,2.63313232873561,0.689030692973736,-6.82919097531799e-05,-0.0143888332186804
741,14643,-1.74416518723381,-0.304342418170705,-0.133784389862419,2.34296499598754,0.486079347702611,4.22807959211168e-05,0.0243237009909313
743,35568,-2.95403502677545,-0.246976052167302,-0.0246950876143562,3.1246983821105,0.848254257273811,-5.19889318563323e-07,-0.00470006670721943
746,184678,-2.81138828200614,-0.206728408112379,-0.0741022176208907,3.4019286057878,0.578204839383171,-6.39996586749374e-05,-0.00220975836061343
762,74241,-2.75978499666802,-0.224102691778416,-0.0479314195378479,3.2522986631391,0.748387405660054,3.6267558165637e-06,0.00183058008928703
802,161619,-1.6261106276585,-0.136263634185074,-0.025084035901895,2.62182062556199,0.942379295385548,-8.19229728855535e-05,0.021694402715363
806,34340,-1.67900593256449,-0.0691391321517703,-0.0283561596846475,5.46137793442452,0.857790750165578,-8.88616333907652e-05,0.0259408531015467
809,10881,-2.02734767825961,-0.156267144795174,-0.072668490375121,3.59349011968168,0.674006045275731,-0.000264236806486935,0.00879197817936841
812,32720,-1.99270031288754,-0.168662568308382,-0.0636417839916968,2.1105905488589,0.754403275324645,-0.00020647438272832,-0.0174232746400048
820,25195,-2.08450438207821,-0.0450318286502607,-0.104072096522374,7.48752299665066,0.565556749331349,9.86517454371687e-05,0.00907468245260069
823,24867,-1.72316547707851,-0.1244433569582,-0.0744626331979142,4.4809231377134,0.645006028697698,7.84844460944886e-05,0.0408732550584992
826,10082,-2.89763156645403,-0.150944443168878,-0.023184001045744,4.41645197058231,0.857505107277367,-0.000183603355889969,0.0123605694956048
827,66191,-1.85236840458759,-0.0454339609664717,-0.0510775906409753,6.80626729375343,0.755193500922298,9.60436286249889e-05,0.0131164886778611
831,13323,-1.30502607828239,-0.197812580340744,-0.093712992552085,1.85853907410988,0.697600012613324,-0.000169601066091079,-0.00214644370907105
832,84621,-2.68998632781039,-0.0204888179626256,-0.00745590088515267,21.3898687361607,1.0772853242072,-8.74750103413103e-05,0.018187636304755
833,100703,-2.18701291649992,-0.104082526588719,-0.0236857652733437,4.30571322325799,0.853473211603072,-4.88622440309112e-05,0.00726887959293586
835,69973,-2.17440814136517,-0.199136028679624,-0.0227738806181014,2.44875321945289,0.976117869187837,1.4865533151915e-05,0.0206161918067321
837,61402,-2.24219731747692,-0.176318150745415,-0.0422455271863227,2.84099554480495,0.791204907897618,-8.36867750180768e-05,-0.000302743254390417
901,11792,-2.77087473596251,-0.446898666452631,-0.383978752142508,1.91079441075102,0.263519953833923,-0.000218590353212247,-0.0338911271486544
931,18891,-3.0160533420572,-0.122250801383947,-0.155558629312302,3.56084653775733,0.488143749042136,-8.80562603573572e-05,-0.0259475254355458
951,46665,-1.95475871424167,-0.23557676269752,-0.0358989444700929,2.72444989048666,0.779801307965059,-6.53350646747893e-07,0.023423447783208
971,37566,-1.93388864711251,-0.230420985864829,-0.435612462318965,2.21014614234742,0.364502506929063,-9.25377486677229e-06,0.00779334852516375
972,48713,-3.222334448924,-0.069521261591494,-0.0796413244460478,8.04332592312293,0.588949236144068,-7.70081533470234e-05,-0.0156651913386855
975,14984,-2.33670924510232,-0.192049571778195,-0.262983404242401,2.77871517249626,0.459634002529586,-0.000153742368093192,-0.0139644598737358
