SPCD,FORM,A,B,C,CWMAX,DBHMAX
370,2,7.11934,0.491,0,0,0
371,2,13.2544,0.308,0,0,0
372,1,8,1.5,0,0,0
373,2,7.11934,0.491,0,0,0
374,1,4.0953,2.3849,-0.01163,0,102.53
375,2,4.85558,0.623,0,0,0
379,2,7.34899,0.382,0,0,0
381,1,4.07906,1.4189,0,0,0
391,1,4.07906,1.4189,0,0,0
400,1,4.51,1.67,0,52,0
401,1,4.51,1.67,0,52,0
402,1,4.51,1.67,0,52,0
403,1,4.51,1.67,0,52,0
404,1,4.51,1.67,0,52,0
405,1,4.51,1.67,0,52,0
406,1,4.51,1.67,0,52,0
407,1,4.51,1.67,0,52,0
408,1,4.51,1.67,0,52,0
409,1,4.51,1.67,0,52,0
410,1,4.51,1.67,0,52,0
412,1,4.51,1.67,0,52,0
413,1,4.51,1.67,0,52,0
421,1,4.07906,1.4189,0,0,0
422,2,7.11934,0.491,0,0,0
423,1,4.07906,1.4189,0,0,0
424,1,4.07906,1.4189,0,0,0
431,1,2.9794,1.5512,-0.014161,0,0
450,1,8,1.5,0,0,0
451,1,4.07906,1.4189,0,0,0
452,2,7.11934,0.491,0,0,0
460,2,7.11934,0.491,0,0,0
461,2,7.11934,0.491,0,0,0
462,2,7.11934,0.491,0,0,0
463,2,7.11934,0.491,0,0,0
471,1,4.07906,1.4189,0,0,0
475,1,3.36368,2.02589,0,0,0
481,1,4.07906,1.4189,0,0,0
491,1,8,1.5,0,0,0
492,1,2.97939,1.55124,-0.01416,0,54.77
500,1,2.97939,1.55124,-0.01416,0,54.77
501,1,4.07906,1.4189,0,0,0
502,1,4.07906,1.4189,0,0,0
509,1,4.07906,1.4189,0,0,0
510,1,4.0953,2.3849,-0.01163,0,102.53
511,1,4.0953,2.3849,-0.01163,0,102.53
513,1,4.07906,1.4189,0,0,0
520,1,4.07906,1.4189,0,0,0
521,1,8,1.5,0,0,0
522,1,4.07906,1.4189,0,0,0
523,1,4.0953,2.3849,-0.01163,0,102.53
531,2,9.61274,0.434,0,0,0
540,1,4.07906,1.4189,0,0,0
541,1,4.07906,1.4189,0,0,0
542,1,0.5,1.62,0,0,0
543,1,4.07906,1.4189,0,0,0
544,1,4.07906,1.4189,0,0,0
545,1,4.07906,1.4189,0,0,0
546,1,4.07906,1.4189,0,0,0
547,1,4.0953,2.3849,-0.01163,0,102.53
548,1,4.07906,1.4189,0,0,0
549,1,4.07906,1.4189,0,0,0
551,1,8,1.5,0,0,0
552,1,8,1.5,0,0,0
555,2,7.11934,0.491,0,0,0
561,1,4.07906,1.4189,0,0,0
571,1,8,1.5,0,0,0
580,2,7.11934,0.491,0,0,0
581,2,7.11934,0.491,0,0,0
582,2,7.11934,0.491,0,0,0
591,1,8,1.5,0,0,0
600,1,2,1.5,0,0,0
601,2,7.11934,0.491,0,0,0
602,1,8,1.5,0,0,0
603,1,4.0953,2.3849,-0.01163,0,102.53
604,1,4.0953,2.3849,-0.01163,0,102.53
605,2,7.11934,0.491,0,0,0
606,1,4.0953,2.3849,-0.01163,0,102.53
611,2,7.11934,0.491,0,0,0
621,2,13.2544,0.308,0,0,0
631,1,4.4443,1.704,0,0,0
641,1,4.07906,1.4189,0,0,0
650,2,7.11934,0.491,0,0,0
651,2,7.11934,0.491,0,0,0
652,2,7.11934,0.491,0,0,0
653,2,7.11934,0.491,0,0,0
654,1,4.07906,1.4189,0,0,0
655,2,7.11934,0.491,0,0,0
658,2,7.11934,0.491,0,0,0
660,1,4.07906,1.4189,0,0,0
661,1,4.07906,1.4189,0,0,0
662,1,4.07906,1.4189,0,0,0
663,1,4.07906,1.4189,0,0,0
664,1,4.07906,1.4189,0,0,0
680,1,8,1.5,0,0,0
681,1,8,1.5,0,0,0
682,1,8,1.5,0,0,0
683,1,8,1.5,0,0,0
690,1,4.07906,1.4189,0,0,0
691,1,4.07906,1.4189,0,0,0
692,1,4.07906,1.4189,0,0,0
693,1,4.07906,1.4189,0,0,0
694,1,4.07906,1.4189,0,0,0
701,1,4.07906,1.4189,0,0,0
711,1,4.07906,1.4189,0,0,0
712,2,7.11934,0.491,0,0,0
721,2,7.11934,0.491,0,0,0
722,1,4.07906,1.4189,0,0,0
730,1,2,1.5,0,0,0
731,2,7.11934,0.491,0,0,0
732,1,4.0953,2.3849,-0.01163,0,102.53
740,1,4.07906,1.4189,0,0,0
741,1,4.07906,1.4189,0,0,0
742,2,4.29785,0.586,0,0,0
743,2,4.29785,0.586,0,0,0
744,2,4.29785,0.586,0,0,0
745,1,4.07906,1.4189,0,0,0
746,2,4.29785,0.586,0,0,0
747,1,0.5,1.62,0,0,0
748,1,4.07906,1.4189,0,0,0
749,1,4.07906,1.4189,0,0,0
752,2,4.29785,0.586,0,0,0
753,2,4.29785,0.586,0,0,0
755,1,4.0953,2.3849,-0.01163,0,102.53
756,1,4.0953,2.3849,-0.01163,0,102.53
757,1,4.0953,2.3849,-0.01163,0,102.53
758,1,4.0953,2.3849,-0.01163,0,102.53
760,1,3.36368,2.02589,0,0,0
761,1,4.07906,1.4189,0,0,0
762,2,7.11934,0.491,0,0,0
763,1,4.07906,1.4189,0,0,0
764,1,4.07906,1.4189,0,0,0
765,1,4.07906,1.4189,0,0,0
766,1,4.07906,1.4189,0,0,0
768,1,8,1.53,0,0,54.77
769,1,4.07906,1.4189,0,0,0
770,1,4.07906,1.4189,0,0,0
771,1,4.07906,1.4189,0,0,0
772,1,4.07906,1.4189,0,0,0
773,1,4.0953,2.3849,-0.01163,0,102.53
800,1,1.8,1.883,0,69,0
801,1,3.0786,1.9242,0,0,0
802,1,1.8,1.883,0,69,0
803,1,4.07906,1.19853,0,0,0
804,1,1.8,1.883,0,69,0
805,1,5,1.69,0,0,0
806,2,13.3857,0.31,0,0,0
807,1,3.0786,1.9242,0,0,0
808,1,1.8,1.883,0,69,0
809,2,13.3857,0.31,0,0,0
810,1,4.07906,1.19853,0,0,0
811,1,2,1.5,0,0,0
812,2,13.3857,0.31,0,0,0
813,2,13.3857,0.31,0,0,0
814,1,4.07906,1.19853,0,0,0
815,1,3.0786,1.9242,0,0,0
816,1,4.07906,1.4189,0,0,0
817,2,13.3857,0.31,0,0,0
818,1,3.3625,2.0303,-0.0073307,0,0
819,1,4.07906,1.4189,0,0,0
820,2,13.3857,0.31,0,0,0
821,1,3.0786,1.9242,0,0,0
822,1,1.8,1.883,0,69,0
823,1,4.07906,1.19853,0,0,0
824,2,13.3857,0.31,0,0,0
825,1,1.8,1.883,0,69,0
826,1,1.8,1.883,0,69,0
827,2,13.3857,0.31,0,0,0
828,2,13.3857,0.31,0,0,0
829,1,4.0953,2.3849,-0.01163,0,102.53
830,2,13.3857,0.31,0,0,0
831,2,13.3857,0.31,0,0,0
832,1,1.8,1.883,0,69,0
833,2,13.3857,0.31,0,0,0
834,2,13.3857,0.31,0,0,0
835,1,1.8,1.883,0,69,0
836,1,1.8,1.883,0,69,0
837,1,4.51,1.67,0,52,0
838,1,1.8,1.883,0,69,0
839,1,2,1.5,0,0,0
840,1,1.8,1.883,0,69,0
841,1,1.8,1.883,0,69,0
842,1,4.07906,1.4189,0,0,0
843,1,4.07906,1.19853,0,0,0
844,1,1.8,1.883,0,69,0
845,1,4.07906,1.4189,0,0,0
846,1,4.0953,2.3849,-0.01163,0,102.53
847,1,4.0953,2.3849,-0.01163,0,102.53
851,2,13.3857,0.31,0,0,0
853,1,4.07906,1.4189,0,0,0
854,1,4.07906,1.4189,0,0,0
855,1,2.42123,0.803796,0.00265417,66,0
857,1,4.07906,1.4189,0,0,0
858,1,4.07906,1.4189,0,0,0
860,1,4.07906,1.4189,0,0,0
863,1,4.07906,1.4189,0,0,0
865,1,4.07906,1.4189,0,0,0
867,1,4.0953,2.3849,-0.01163,0,102.53
868,1,8,1.5,0,0,0
869,1,4.07906,1.4189,0,0,0
870,1,8,1.5,0,0,0
873,1,4.07906,1.4189,0,0,0
876,1,4.07906,1.4189,0,0,0
882,1,4.07906,1.4189,0,0,0
886,1,4.07906,1.4189,0,0,0
891,1,4.07906,1.4189,0,0,0
897,1,4.07906,1.4189,0,0,0
901,1,8,1.5,0,0,0
902,1,4.0953,2.3849,-0.01163,0,102.53
907,1,4.07906,1.4189,0,0,0
909,1,4.07906,1.4189,0,0,0
912,1,4.07906,1.4189,0,0,0
913,1,4.07906,1.4189,0,0,0
915,1,4.07906,1.4189,0,0,0
919,1,4.07906,1.4189,0,0,0
920,1,8,1.53,0,0,54.77
