SPCD,n,b0,b1,b2,b3,b4
131,303729,1.89103685679817,-0.0289408512687685,-1.2522229217481,-0.536571229448982,0.368883860324743
132,23202,1.64638256778545,-0.0422171794730659,-1.13911710861366,-0.287867693353928,0.304025729666941
202,181005,1.78451689823739,-0.0536959974562665,-0.963716365784099,-0.13837866402888,0.130231982940947
211,5438,6.15046731794159,-0.0735439032845868,-0.826034545473707,-4.13704130267012,0.0149545345965746
241,112551,2.69705673279867,-0.62148263854663,-0.334634819652618,-0.0264538218181873,1.1264381567494
242,15524,2.60529245286168,-0.807744524604873,-0.234559086188337,0.1028208907708,1.30645699463808
261,70134,2.50921270049285,-0.345414764226064,-0.617170742892826,-0.295987746358812,0.0412584430510971
263,37636,2.16003842674157,-0.359356983728333,-0.480571176702831,0.0290615700044843,1.86522561268558
264,11341,1.81962557567814,-0.174420980577072,-0.648767899011197,0.0922403023517453,1.55753540788114
313,11659,2.13814314013165,-0.492746447308889,-0.440379170947499,0.118129132768805,1.21308992305913
315,10105,1.91650061528908,-0.148491443880374,-0.900418689842777,-0.1728939314262,0.000622720585957617
316,334506,2.88324649281792,-0.494611394794107,-0.468679781612012,-0.551264955161886,0.126675027328501
317,8783,2.51518433435878,-0.204496704395151,-0.736766560751947,-0.627842686738646,0.0931365006262581
318,195490,3.18563932972155,-0.743341774193194,-0.414275245529174,-0.386639949626802,0.105409784348212
351,7500,2.28574441101733,-0.324540463634249,-0.492840176554006,-0.278578633263845,0.101425615234494
356,6660,2.28449500312363,-0.161780049637006,-0.700574070047964,-0.441087449160421,0.000721381514658181
371,50501,2.87489033077431,-0.72894762950542,-0.433652340828832,-0.168443530333602,0.196861421952215
372,9328,1.85453241878505,-0.130723781937158,-0.764608578136552,-0.11316004502052,0.0185385760018829
375,71018,2.26398706535552,-0.391209784754829,-0.581955827432256,-0.138774646975782,0.101405869086121
391,14498,1.49249759215741,-0.790488803052105,-0.340435245862431,1.08363325439738,0.407855833576347
402,11081,4.8363782392705,-3.4072540037987,-0.119598297069029,0.546300267339783,0.932846527733286
403,30552,2.48340254797026,-0.308549757205455,-0.619168667946199,-0.347194186350269,0.159178487223621
407,21081,-23.049665751301,25.5978126847753,0.0179347063202121,-0.480388851160917,0.126802686261926
408,13274,2.01660122479318,-0.269672192110835,-0.647234391550483,0.110400711820862,1.60219868615396
409,30590,2.45709783758751,-0.318220939962659,-0.575523852926149,-0.335861563526737,0.0442998373653116
462,10332,2.41033014462069,-0.342930480987093,-0.548292116035776,-0.0997891633968313,0.0554371968656121
491,16353,0.857108222222658,-0.652329089448395,-0.388965265152924,1.43813434116065,0.433725047958185
531,82510,5.87841226015175,-3.9322912260646,-0.113847176077893,0.0705513964945535,2.34810220712824
541,46523,2.14625017905294,-0.195939529904983,-0.631673336147059,-0.487638504916276,0.0767389718255413
543,49953,2.25054814465008,-0.211333130871308,-0.615062344558188,-0.275281716835857,0.0398855313233531
544,35498,2.20138030813962,-0.390889818767958,-0.436314320337906,-0.229253295622434,0.0285235122643462
591,11081,5.43902203685604,-4.00542590298302,-0.103496573219046,0.545621740071439,0.935396965518273
602,11946,3.56076013981601,-1.18553466091971,-0.266091173137081,-0.409349023621335,0.244597317254073
611,103574,2.17753834638286,-0.109770952183876,-0.776303701684892,-0.524868307945705,0.0780761081489065
621,69506,2.72182252912741,-0.232040120225094,-0.634888091113901,-0.909049361697508,0.153278344665552
631,12167,2.07768254708019,-0.0477826129168163,-1.11255792659948,-0.328398189081005,0.000784373742781107
653,9328,1.75496354362072,-0.144274074471076,-0.743155290326157,0.013092770202209,2.8663419237782
693,43842,2.16999687553645,-0.368833165081253,-0.506044821080461,0.0693896360752737,1.73024156094259
694,12413,1.90665773705427,-0.0818279906950792,-0.865402118038239,-0.161239280891565,0.112361806571453
701,19616,1.8555643317444,-0.00798047031406796,-1.57081494644528,-0.352908968732886,0.222517595373236
711,37216,3.1746639541972,-0.667561045175532,-0.38242822382499,-0.560490704321055,0.0932921423655528
731,5528,2.12195906562589,-0.118816921329415,-0.78100744299582,-0.455731335446411,0.217637817882059
741,12850,2.22752018804028,-0.337163626142876,-0.63728507730596,-0.242667591682521,0.220464714463461
743,29618,2.48585775470904,-0.232422687636024,-0.629950275123982,-0.682389669447574,0.160032340855505
746,173958,2.09446042061016,-0.190021912173472,-0.663908700672449,-0.327598172911125,0.0948428454759221
762,58177,2.62548422052318,-0.253278143457815,-0.598985098696871,-0.784009347338576,0.141410502906447
802,115152,2.68669443121067,-0.403102006309666,-0.56373147605689,-0.467274870209447,0.147550553809778
805,5799,25.580148287969,-0.101510194662117,-0.768489969977075,-23.7474153626042,-0.00660098149308
806,11343,2.12693994644724,-0.256389238157273,-0.606622066221427,-0.303333613186408,0.0454951437757457
809,9718,2.30067266102709,-0.323938898017504,-0.622026987308504,-0.326364598072472,0.055783807470121
812,22065,2.15649283436955,-0.163248130632257,-0.74625203527522,-0.539023134577244,0.142904733144065
813,5056,2.27146210095711,-0.161600790576533,-0.734769877219061,-0.603716893007271,0.131836558135928
820,11343,2.12682391196166,-0.256325254754754,-0.60669751628687,-0.303300093716676,0.0455106702802504
823,21241,3.02581273491907,-0.858924985108681,-0.369292620667699,-0.160266632334795,0.0930458138720789
824,5877,1.33385486501067,-0.0688272381251977,-1.10517396741058,0.149809928769685,1.2269644871269
826,5773,4.69560455376775,-0.274061783266135,-0.656902639328262,-2.57718511398774,0.0144360431550878
827,39983,2.14958890443077,-0.242230650267456,-0.627440952679717,-0.382749895594134,0.0772147361862557
831,6247,2.08723380383622,-0.189182413898317,-0.751903684057091,-0.405597063300734,0.187626054642295
832,56124,2.45208436514876,-0.296678556815032,-0.619176640184123,-0.426986575925552,0.240599202440134
833,76822,2.45177279771367,-0.222375336254363,-0.685270230774441,-0.563428943656184,0.17254456704618
835,46732,2.52413686783083,-0.292195411601017,-0.653321939245735,-0.508239103749181,0.11535247736736
837,47163,2.29021752342488,-0.1859614332965,-0.758424369427828,-0.619271489721572,0.131675204019229
901,21241,3.01662987012155,-0.850553526528203,-0.371626628432091,-0.160150292716371,0.0928723639217232
931,30590,2.45605332355033,-0.317692677842818,-0.576046427022589,-0.335429202703384,0.044351889660121
951,37216,3.17459380702257,-0.667506196886266,-0.382448549741985,-0.560482928652286,0.0932923296250222
971,22546,1.73596733690327,-0.158246069012444,-0.786627896876192,0.231335083991829,1.42130633037337
972,38989,1.13364073726072,-0.0157241187894186,-1.34963250885508,0.4794060429778,0.973609284570132
975,10387,1.43430510939264,-0.0486682550662226,-1.00793736170865,0.000342456452517363,-0.157703036788075
