SPCD,n,B0,B1,B2,B3,B4,B5,B6,B7,B8
831,11316,150,0.0242671020841181,2.40854732485882,-0.156530229919696,0.00381919527848629,-0.000214925582488848,0,0,-0.0996040468124007
832,67197,158,0.00973878492378524,1.8419409727572,-0.124083172163641,0.00464452950641606,4.39473587222277e-05,0,0,-0.878451452093253
833,80650,158,0.0126055875100616,2.03151345158196,-0.0941177743037531,0.00392014221112658,4.98861115963841e-05,0,0,-0.777398545326228
835,58149,133,0.0117076984977387,2.12047237125803,0.0529170047826215,0.00611236734541001,0.000231139552755152,0,0,-1.29408034630317
837,49046,149,0.0119198540756899,2.05456608381068,-0.0917763607217986,0.00485843877839042,3.54938375060198e-05,0,0,-0.979086253076531
838,9843,118,0.0170969401061716,2.48114886686125,0.337417207908311,0.00292851773491373,0.000794140521883858,0,0,-0.982639987548542
901,9484,128,0.0198183873702789,2.02029656196765,0.0631134397907683,0.0016645175247079,6.1305190124508e-05,0,0,-0.346735800980616
931,15606,131,0.0138117059976437,1.72071403418129,-0.00489024061404513,0.00292647685273817,5.17281500701474e-05,0,0,-0.36941594304467
951,36887,147,0.0112577983815966,1.75662269537359,-0.0809913036091889,0.00433419704094168,-4.75619089598403e-05,0,0,-0.747479293685144
971,32720,131,0.0188807325551322,2.33872864317322,0.177581590678219,0.00478459781653559,0.000141606140436171,0,0,-0.653707917854717
975,12173,138,0.0170627619926862,2.25892337889387,0.0308496598041202,0.0043509254199099,3.25962936384907e-05,0,0,-0.584244005290211
