SPCD,model_id,B1,B2,B3
262,6,107.767767118956,-0.0596990227558358,1.00447546308802
263,5,5.39568773967056,-17.8041952551988,3.94162882514225
264,5,5.12328719696338,-18.0764699777001,3.33556535116655
300,1,2.05823235835962,-2.99474489129929,0
303,2,26.8944154294638,-25.4020438763814,-0.0228314683004696
310,1,3.45066075764484,-1.18089928978713,0
311,3,90.7121347032055,-0.085418001074341,0.83040404381009
312,3,101.799322549662,-0.0842367935364303,0.911232718937445
313,3,63.8704363640289,-0.109011210766611,0.805967193376699
314,2,5.25279544171297,-3.08902071644383,-0.407961448658565
315,4,4.05244830316914,-3.3521823107057,0
316,6,96.3922448635395,-0.136953203364767,0.849299083187643
317,3,94.597403448077,-0.0780278849482925,0.76768780170989
318,3,86.8722151320408,-0.118466921733072,0.912923449941275
319,5,5.26420684538183,-18.3840369067949,5.22847504103801
320,5,4.43246116210197,-5.75572226965308,1.70270806578492
321,6,27.1099166406306,-0.205858295984719,1.2608062208517
322,4,3.84769906672085,-5.91709328642341,0
323,2,6.75210937280359,-4.44536709527216,-0.21020547908981
330,5,6.09966545338436,-69.0153727611017,16.4302541048105
331,5,4.97131296065915,-15.252907630114,3.9984623638074
332,5,4.94234238840679,-10.671134367943,2.7532063913117
333,2,4.34715748550652,-2.43183640028275,-0.283088265482189
334,4,3.5643064453706,-3.36841654827157,0
337,1,4.03290065083517,-2.37941854279294,0
341,2,5.47965273860851,-3.14287891027902,-0.360459840085892
345,2,5.59845240305838,-3.14873978172747,-0.258175025032178
351,6,102.58445153823,-0.0923264667236121,1.02882046557115
352,5,4.75322829296182,-10.6538410735558,3.20770081697631
353,5,4.72423006516244,-12.990322796276,4.07011940231892
355,4,4.28809545293684,-3.96517333053275,0
356,5,4.68460644862414,-9.74215691896702,3.27281060390765
357,5,5.1718747873819,-19.9705661199722,6.70792125446443
361,5,4.52619906138708,-9.06373459473923,2.32424406529696
362,5,4.00155088635001,-11.5570105542129,2.78306180034998
363,1,2.94565065862898,-2.97739784929437,0
367,2,8.28443596140862,-5.95472267981489,-0.13441956443255
370,2,4.79459462936925,-2.10718171924323,-0.315563319443269
371,5,4.4395708047223,-5.58056802970323,1.87552552701953
372,3,86.5942690929821,-0.111339234928666,0.836642957386161
373,2,5.26245487905325,-2.83295398771554,-0.381509468183578
374,2,18.6711305769443,-16.5853212778024,-0.0520268804257012
375,3,73.4146454771709,-0.125431847449098,0.874657743908028
379,4,4.25477239578336,-3.88939144010032,0
381,5,4.25034499252333,-8.57968874543406,2.81964214058428
391,2,6.55522718226434,-4.02840839139553,-0.159841614930784
400,2,7.16465643663271,-4.82944235512607,-0.156743767080729
401,3,107.737997074816,-0.0663099062844626,0.849622713602943
402,5,4.98195633306394,-10.5149299565272,3.01937395937721
403,5,5.04752531090925,-11.512380469404,3.28729433431041
404,6,98.6800268545072,-0.0912589322239814,0.935401609295431
405,6,109.376396002375,-0.072134742058345,1.07547937408899
406,5,4.88779222804065,-11.7716866822837,3.90255427013835
407,5,4.97546634829028,-10.7912423082463,2.97457486133052
408,3,91.879991122481,-0.0753350742003603,0.918515657810867
409,3,138.405849863886,-0.0501488378929495,0.889984615240066
410,3,109.182880758094,-0.081556642171532,0.954430372898952
412,3,139.013305340319,-0.0667883983076748,0.979163359888185
413,5,5.03412878210101,-10.3775093292423,2.71467805601678
421,5,4.33613997242303,-5.2210983106951,1.50344826835429
422,4,3.91856747904857,-2.987563466577,0
423,4,4.24939788749554,-4.03644288428077,0
424,2,3.80683714315001,-75141605.1878824,-12.094232694661
431,6,80.8896633778785,-0.0565503083279756,1.16092746891795
450,1,4.16965749876193,-3.51262283090321,0
451,3,58.314025312742,-0.145008691309712,0.918243352483423
452,3,77.4541502388849,-0.0715710655552061,0.817458397028094
460,5,7.3361397813616,-156.003373412876,36.4633925434479
461,2,9.07012693496978,-6.80979259334491,-0.123063093394536
462,5,4.80793196243877,-12.0274905047119,3.78523205296343
463,5,4.20042409544316,-12.5035371909179,4.23465103752541
