PLOT,MEASYEAR,N_LIVE,N_DEAD,N_REMOVED,TPA,BA_FT2_AC,QMD_IN,SDI,REL_DENSITY,DBH_MEAN_IN,DBH_MIN_IN,DBH_MAX_IN,HT_MEAN_FT,LOREYS_HT_FT,DSTRBCD1,NOTES,TPA_INGROWTH,TPA_ALL,METRICS_RELIABLE,CURTIS_RD
1127,1995,14,0,0,70,26.98,8.41,53,0.1261,8.17,5.1,13.5,44.7,49.5,,,0,70,Y,9.31
1128,1989,5,0,0,25,18.84,11.75,32.4,0.0772,11.32,8.2,15.8,,,,,0,25,N,5.5
1128,1994,1,0,0,5,7.7,16.8,11.5,0.0274,16.8,16.8,16.8,48,48,,,0,5,N,1.88
1128,1999,10,0,0,50,24.25,9.43,45.5,0.1083,8.82,5.2,17.5,51.8,56.3,,,15,50,N,7.9
1129,1986,22,0,0,110,84.39,11.86,144.7,0.3444,11.39,7.2,16.5,46.6,47.4,,,0,115,N,24.51
1130,1986,21,0,0,105,66.54,10.78,118.4,0.282,10.37,6.5,18.6,,,,,0,105,Y,20.27
1130,1989,18,0,0,90,65.07,11.51,112.8,0.2687,11.11,6.6,18.7,,,,,0,105,Y,19.18
1130,1994,10,0,0,50,58.24,14.61,91.9,0.2189,13.73,4.8,18.8,136.7,138.9,,,5,50,Y,15.23
1130,1999,15,0,0,75,49.26,10.97,87.1,0.2073,10.64,7,18.4,132.5,133.1,,,0,75,Y,14.87
1131,1986,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1131,1989,2,0,0,10,3.37,7.86,6.8,0.0162,7.85,7.4,8.3,,,,,0,10,N,1.2
1131,1999,6,0,0,30,5.38,5.73,12.3,0.0293,5.67,4.8,7.2,25.3,26,,,35,30,N,2.25
1132,1986,2,0,0,10,2.56,6.85,5.4,0.013,6.85,6.8,6.9,,,,,0,10,N,0.98
1132,1989,0,0,0,0,0,0,0,0,0,,,,,,NO_LIVE_TREES,0,0,N,0
1132,1994,1,0,0,5,2.11,8.8,4.1,0.0097,8.8,8.8,8.8,129,129,,,0,5,N,0.71
1132,1999,1,0,0,5,0.86,5.6,2,0.0047,5.6,5.6,5.6,28,28,,,5,5,N,0.36
1133,1986,13,0,0,65,23.27,8.1,46.4,0.1104,7.97,6,11.1,,,,,0,65,Y,8.18
1133,1989,12,0,0,60,24.6,8.67,47.7,0.1136,8.51,6,11.8,,,,,0,60,Y,8.35
1133,1994,18,0,0,90,33.74,8.29,66.6,0.1586,8.08,5.4,11.6,117.3,118.2,,,0,90,Y,11.72
1133,1999,22,0,0,110,41.44,8.31,81.7,0.1946,8.02,4.8,12.9,130.2,132.3,,,60,120,Y,14.38
1134,1986,13,0,0,65,27.08,8.74,52.4,0.1247,8.51,6.5,13.9,,,,,0,75,Y,9.16
1134,1989,13,0,0,65,29.32,9.09,55.8,0.1329,8.89,6.5,14.3,,,,,0,65,Y,9.72
1134,1994,6,0,0,30,23.2,11.91,39.7,0.0945,11.78,9.5,14.3,130,128.1,,,5,30,N,6.72
1134,1999,16,0,0,80,31.77,8.53,62,0.1477,8,4.7,14.9,114.3,126,,,15,80,Y,10.88
1150,1989,26,0,0,130,32.47,6.77,69.5,0.1654,6.7,4.7,8.4,38.5,39.7,,,0,130,N,12.48
1150,1994,35,4,0,175,44.83,6.85,95.4,0.2272,6.76,4.7,8.9,104.1,104.4,,,0,195,Y,17.12
1150,1999,26,0,0,130,38.44,7.36,79.5,0.1894,7.22,4.8,12.1,111.9,107.1,,,0,130,Y,14.17
