PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,BA_PREV_FT2AC,BA_CURR_FT2AC,PAI_BA_SURV_FT2ACY,PAI_BA_MORT_FT2ACY,PAI_BA_INGR_FT2ACY,PAI_BA_NET_FT2ACY,MEAN_ANN_DIA_IN_YR,N_GROWTH_RECS,N_MORT_RECS,NOTES
1236,1987,1991,4,,7.83,0,0,1.9563,1.9563,,0,0,
1236,1991,1996,5,7.83,31.45,0.1464,0,4.5777,4.7242,0.3,3,0,
1236,1996,2001,5,31.45,48.99,0.1279,0,2.4802,2.6081,-0.0077,14,0,
1237,1987,1991,4,,54.87,0,0,13.7177,13.7177,,0,0,
1237,1991,1996,5,54.87,31.89,0.3072,0,0,0.3072,0.0686,9,0,
1238,1987,1991,4,,16.41,0,0,4.1017,4.1017,,0,0,
1238,1991,1996,5,16.41,35.01,0.0273,0,2.5037,2.5311,0.03,9,0,
1238,1996,2001,5,35.01,,0,0,0,0,,0,0,
1239,1987,1991,4,,0,0,0,0,0,,0,0,
1239,1991,1996,5,0,16.99,0,0,3.3984,3.3984,,0,0,
1239,1996,2001,5,16.99,78.31,0.6676,0,11.597,12.2646,0.12,15,0,
1240,1987,1991,4,,3.74,0,0,0.9357,0.9357,,0,0,
1240,1991,1996,5,3.74,27.67,0.025,0,3.2236,3.2486,0.06,1,0,
1240,1996,2001,5,27.67,33.48,0.1006,0,1.4619,1.5626,0.018,10,0,
1242,1987,1991,4,,8.83,0,0,2.2068,2.2068,,0,0,
1242,1991,1996,5,8.83,69.46,1.965,0,10.5561,12.5211,0.885,4,0,
1242,1996,2001,5,69.46,7.53,-0.9422,0,0,-0.9422,-0.465,4,0,
1243,1987,1991,4,,32.4,0,0,8.0998,8.0998,,0,0,
1243,1991,1996,5,32.4,39.5,0.8391,0,2.3223,3.1614,0.23,15,0,
1243,1996,2001,5,39.5,49.56,1.2303,0,3.328,4.5583,0.2387,16,0,
1244,1987,1991,4,102.49,117.55,1.0353,0,2.7297,3.7651,0.0783,29,0,
1244,1991,1996,5,117.55,25.99,0,0,0,0,,10,0,
1244,1996,2001,5,25.99,40.8,0.3446,0,4.5735,4.9182,0.116,5,0,
1245,1987,1991,4,7.99,26.66,-0.7799,0,6.1848,5.4049,-1.3,1,0,
1245,1991,1996,5,26.66,47.96,-0.3556,0,7.6863,7.3307,-0.2133,3,0,
1245,1996,2001,5,47.96,78.88,1.6948,0,4.9325,6.6272,0.1504,28,0,
1246,1987,1991,4,10.53,18.96,0.2416,0,1.8664,2.108,0.1375,5,0,
1246,1991,1996,5,18.96,8.3,0.2376,0,0,0.2376,0.27,5,0,
1246,1996,2001,5,8.3,27.1,0.381,0,1.9356,2.3167,0.184,5,0,
1247,1987,1992,5,28.11,44.17,0.4787,-0.3757,3.1097,3.2127,0.094,10,1,
1247,1992,1997,5,44.17,4.74,-0.007,0,0.1364,0.1294,-0.02,4,0,
1247,1997,2002,5,4.74,38.57,0,0,7.7145,7.7145,,0,0,
1248,1987,1992,5,0,0,0,0,0,0,,0,0,
1248,1992,1997,5,0,17.97,0,0,0.3068,0.3068,,0,0,
1248,1997,2002,5,17.97,25.15,0.2435,0,1.4995,1.7429,0.0457,8,0,
1250,1987,1991,4,6.14,38.32,0,0,8.0458,8.0458,,1,0,
1250,1991,1996,5,38.32,118.89,-0.3161,-0.4418,10.7429,9.985,0.11,8,1,
1251,1988,1991,3,42.89,63.95,1.2956,0,5.7241,7.0198,0.1353,17,0,
1251,1991,1996,5,63.95,62.89,1.2413,0,4.4596,5.701,0.2575,13,0,
1251,1996,2001,5,62.89,16.05,-0.2038,0,1.4711,1.2674,-0.045,8,0,
1252,1987,1991,4,2.69,14.48,0.3317,0,3.1028,3.4345,0.875,1,0,
1252,1991,1996,5,14.48,51.85,-0.028,0,9.3534,9.3254,-0.03,3,0,
1252,1996,2001,5,51.85,96.48,0.3604,0,8.9425,9.3028,0.0292,24,0,
1253,1987,1991,4,33.17,55.47,0.8202,0,4.7545,5.5747,0.1062,17,0,
1253,1991,1996,5,55.47,61.15,0.8924,0,3.9744,4.8668,0.1233,21,0,
1253,1996,2001,5,61.15,48.57,0.6694,0,3.421,4.0903,0.0908,13,0,
1259,1987,1992,5,7.89,11.76,0.3348,0,0.4388,0.7736,0.27,3,0,
1259,1992,1997,5,11.76,7.52,-0.9735,0,0.1257,-0.8478,-0.6467,5,0,
1259,1997,2002,5,7.52,11.69,1.0716,0,0.5557,1.6273,0.5867,3,0,
1260,1987,1992,5,59.03,31.83,0.8976,0,0,0.8976,0.1543,10,0,
1260,1992,1997,5,31.83,69.98,1.7988,0,9.4751,11.2738,0.7867,6,0,
1261,1987,1992,5,18.86,12.96,-0.1363,-3.5053,2.4618,-1.1797,-0.42,1,10,
1261,1992,1997,5,12.96,36.4,-0.2853,0,5.3972,5.1119,-0.05,6,0,
1261,1997,2002,5,36.4,44.76,-0.2205,0,3.7596,3.5391,-0.019,23,0,
1262,1987,1992,5,76.36,91.94,1.2229,-1.4786,3.3721,3.1164,0.1021,19,2,
1262,1992,1997,5,91.94,23.02,-0.2444,0,0.1772,-0.0672,-0.02,14,0,
1262,1997,2002,5,23.02,35.18,0.1594,0,4.5761,4.7355,0.0533,6,0,
1263,1987,1992,5,71.86,74.43,0.9264,-0.4128,0,0.5136,0.1092,13,1,
1263,1992,1997,5,74.43,44.89,-3.5612,0,0.159,-3.4022,-0.452,10,0,
1263,1997,2002,5,44.89,58.2,3.9053,0,2.3657,6.271,0.542,10,0,
1271,1987,1992,5,0,0,0,0,0,0,,0,46,
1271,1992,1996,4,0,,0,0,0,0,,0,0,
1272,1987,1992,5,14.94,24.73,0.3654,-0.7466,2.3396,1.9584,0.16,4,7,
1272,1992,1997,5,24.73,25.64,0.9412,0,0,0.9412,0.202,10,0,
1272,1997,2002,5,25.64,29.84,-0.1076,0,0.9474,0.8398,-0.11,10,0,
1273,1987,1992,5,71.81,65.73,1.3405,-4.1131,1.5562,-1.2164,0.1786,15,3,
1273,1992,1997,5,65.73,51.14,0.1619,0,0,0.1619,0.0325,12,0,
1273,1997,2002,5,51.14,44.71,1.0913,0,2.2026,3.2939,0.2067,10,0,
1274,1987,1992,5,36.02,47.3,0.8321,0,2.0453,2.8774,0.1629,7,1,
1274,1992,1997,5,47.3,43.5,0.8771,0,0,0.8771,0.2022,10,0,
1274,1997,2002,5,43.5,17.03,-6.2477,0,1.33,-4.9177,-1.1822,9,0,
1275,1987,1992,5,2.16,25.77,0.0397,0,4.683,4.7228,0.08,1,0,
1275,1992,1997,5,25.77,24.77,0.3081,0,0.2673,0.5753,0.084,22,0,
1275,1997,2002,5,24.77,31.09,0.4249,0,1.8532,2.2781,0.07,18,0,
1276,1987,1992,5,7.21,18.01,0,0,0.6783,0.6783,,2,0,
1276,1992,2002,10,18.01,,0,0,0,0,,0,0,
1277,1987,1992,5,19.21,13.45,0,-1.1506,0,-1.1506,,5,2,
1277,1992,1997,5,13.45,13.45,0,0,0,0,,5,0,
1277,1997,2002,5,13.45,12.41,0,-0.2097,0,-0.2097,,4,1,
1278,1987,1992,5,27.67,32.05,0.1488,0,0.4335,0.5823,0.14,13,0,
1278,1992,1997,5,32.05,45.24,0.8246,0,2.4662,3.2907,0.34,16,0,
1278,1997,2002,5,45.24,27.48,0.0828,-0.4224,0.7628,0.4233,0.0244,15,1,
1284,1987,1991,4,68.31,88.11,2.3967,0,2.554,4.9507,0.1708,24,0,
1284,1991,1996,5,88.11,78.63,1.2852,-0.994,0,0.2911,0.2425,24,1,
1284,1996,2001,5,78.63,97.7,0.1947,0,4.6888,4.8835,0.0247,21,0,
1285,1987,1991,4,29.1,44.18,0.992,-0.2293,3.0089,3.7715,0.2125,11,1,
1285,1991,1996,5,44.18,52.64,0.6833,0,3.1982,3.8815,0.1333,15,0,
1285,1996,2001,5,52.64,9.84,0,0,1.9687,1.9687,,0,0,
1286,1987,1991,4,41.78,51.08,0.8181,0,1.5064,2.3244,0.1161,18,0,
1286,1991,1996,5,51.08,54.67,0.5067,0,3.2344,3.7411,0.42,15,0,
