PLOT,MEASYEAR,SPCD,SPECIES,N_LIVE,TPA,BA_FT2_AC,BA_PCT,QMD_IN
1203,1999,371,Yellow birch,2,10,24.83,44.6,21.34
1203,1999,97,Red spruce,11,55,24.27,43.6,8.99
1203,1999,316,Red maple,1,5,2.41,4.3,9.4
1203,1999,531,Am. beech,1,5,2.36,4.2,9.3
1203,1999,375,Paper birch,1,5,1.83,3.3,8.2
1204,1989,371,Yellow birch,2,10,7.94,32.8,12.07
1204,1989,97,Red spruce,1,5,6.72,27.7,15.7
1204,1989,261,Hemlock,2,10,5.7,23.5,10.23
1204,1989,531,Am. beech,1,5,3.86,15.9,11.9
1204,1994,371,Yellow birch,3,15,20.73,34.1,15.92
1204,1994,531,Am. beech,2,10,19.16,31.5,18.74
1204,1994,999,Unknown/Other,1,5,9.64,15.8,18.8
1204,1994,97,Red spruce,1,5,7.33,12.1,16.4
1204,1994,261,Hemlock,2,10,3.99,6.6,8.55
1204,1999,261,Hemlock,13,65,33.21,47.1,9.68
1204,1999,371,Yellow birch,5,25,19.86,28.1,12.07
1204,1999,97,Red spruce,3,15,13.34,18.9,12.77
1204,1999,531,Am. beech,1,5,4.13,5.8,12.3
1205,1989,371,Yellow birch,13,65,88.38,87.2,15.79
1205,1989,316,Red maple,2,10,11.42,11.3,14.47
1205,1989,261,Hemlock,1,5,1.58,1.6,7.6
1205,1994,371,Yellow birch,9,45,80.56,86.4,18.12
1205,1994,316,Red maple,2,10,12.67,13.6,15.24
1205,1999,371,Yellow birch,10,50,56.39,93.3,14.38
1205,1999,261,Hemlock,1,5,2.16,3.6,8.9
1205,1999,531,Am. beech,1,5,1.88,3.1,8.3
1206,1989,97,Red spruce,11,55,42.73,81.6,11.94
1206,1989,371,Yellow birch,3,15,9.6,18.4,10.83
1206,1994,97,Red spruce,4,20,15.17,39.6,11.79
1206,1994,318,Sugar maple,2,10,14.31,37.3,16.2
1206,1994,375,Paper birch,3,15,7.64,19.9,9.66
1206,1994,531,Am. beech,1,5,1.22,3.2,6.7
1206,1999,261,Hemlock,4,20,12.41,42.3,10.67
1206,1999,371,Yellow birch,2,10,7.08,24.1,11.39
1206,1999,531,Am. beech,3,15,5.51,18.8,8.21
1206,1999,97,Red spruce,2,10,3.36,11.5,7.85
1206,1999,375,Paper birch,1,5,0.98,3.3,6
1208,1987,12,Balsam fir,17,85,54.5,61.8,10.84
1208,1987,316,Red maple,5,25,21.35,24.2,12.51
1208,1987,97,Red spruce,4,20,7.48,8.5,8.28
1208,1987,261,Hemlock,2,10,4.92,5.6,9.5
