variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
log_lik[22097],-2.801330266675,-2.80166895,0.056776156595014976,0.05684407007999976,-2.89575696,-2.710582485,1.0008084673526487,5014.808062855177,3680.3640759015857
log_lik[22098],-0.6392937050225,-0.63360697,0.017725090269418865,0.00982695449400005,-0.6741626740000001,-0.6230801635,1.0003596108248867,3316.786701426329,3374.3653936122905
log_lik[22099],-1.0876318111625,-1.0875683500000002,0.03256893827288514,0.0326895508800003,-1.1418766949999999,-1.03499007,1.000004399682862,4138.1651134538915,3795.5559404208575
log_lik[22100],-0.7519935939925,-0.75077901,0.02568286874855575,0.025082812124999927,-0.7969154975,-0.712280643,1.0005485658983064,8109.899382202922,3150.2998002934874
log_lik[22101],-1.014238974695,-1.01324225,0.04043478148460747,0.04012255856700002,-1.082536725,-0.9490258805000001,1.0005182230725365,3699.721668129513,3008.709062011621
log_lik[22102],-0.632982152855,-0.632273995,0.006527086128908201,0.006264199976999978,-0.6446116654999999,-0.6232516189999999,1.0008743400000615,4535.030253020058,2727.7095490978336
log_lik[22103],-0.8411968611175,-0.840499215,0.019027157807160102,0.019261427702999986,-0.8727883885,-0.8104771310000001,1.000655091779588,5521.819009492763,3583.5090019974796
log_lik[22104],-1.5196001208,-1.51945945,0.039216763573412715,0.0386180235,-1.5860301350000001,-1.455232475,1.00059058831958,4728.1140027118545,3445.5931871921057
log_lik[22105],-0.7711515717725,-0.77093566,0.01220276256361673,0.012342326241000002,-0.7914654010000001,-0.75197060549999994,0.9998554948368193,4328.078633674713,3722.6376119421034
log_lik[22106],-2.02628967875,-2.02494275,0.0531710311092756,0.052523625420000046,-2.1162251300000006,-1.940375695,1.0007025047905418,2446.8397018455253,2995.374214056973
log_lik[22107],-1.2563726305,-1.2559364,0.0285922409512278,0.02854916799000004,-1.301826315,-1.21026739,1.0015243948606842,3666.036888277817,3707.2257561242977
log_lik[22108],-2.17481025525,-2.1735289,0.05621404075542493,0.05619684104999995,-2.26795198,-2.0856404,0.9996748474403278,4457.44316413208,3650.7320519754
log_lik[22109],-1.44551166345,-1.44604585,0.04381454178537863,0.04368792246000012,-1.5179530300000001,-1.37273045,0.9997007928650915,4675.946857882851,3873.8285094700805
log_lik[22110],-0.8458085978475,-0.84571821,0.024046569564913696,0.02365305940200005,-0.886068588,-0.806089113,1.0008138665361477,5624.66849077369,3315.6636197184725
log_lik[22111],-0.738323344315,-0.737886745,0.013630649675575212,0.01376578532699994,-0.761396662,-0.7163690245000001,1.0000652893095032,4680.959865512019,3407.298649538543
