cn,t1,variant,oBA,dBA,cBA,oTPH,dTPH,cTPH,oQMD,dQMD,cQMD,oVOL,dVOL,cVOL
290008804489998,22399023010497,ec,70.66794380740424,70.59150375976563,70.64750939941406,4546.84083895342,4441.968663690014,5180.665040231396,14.06655212679135,14.223736934661865,13.17591935157776,512.4413414663876,568.4441508969726,566.972483107666
714228594290487,40403062010497,ec,30.483937074833538,23.698201696777343,24.40601124267578,432.99744955043764,350.6459503191559,425.6442580851288,29.938095372122312,29.33245861053467,27.01781307220459,328.74197663195827,224.09269578247068,229.50711227893066
558628290126144,29881259010497,ec,103.3464729876667,90.39640261230468,113.7814302734375,759.3161805164607,468.2076847034912,913.2666598753601,41.626300110284106,49.57714828491211,39.825570545196534,1392.1498190506568,1224.8568641640625,1481.8303013691404
238861044489998,22398826010497,ec,30.38999423050933,26.94593321533203,33.79778494873047,200.72904259231558,118.90461766757583,226.85892194990845,43.90272837283693,53.71212844848633,43.5503165435791,394.51085804951066,321.59584952270507,384.85288590991206
174763624020004,41119312010497,wc,32.74246344054594,36.459023278808594,36.10063763427734,153.64724897737676,535.1184719811309,607.9916719708923,52.086429735154454,29.451181983947755,27.493738479614258,354.26636706751725,299.9694839975586,295.84471816210936
216958971020004,24959858010900,wc,13.395106645707951,9.496470724487304,9.367924188232422,526.6027861900344,36.609009784025,41.58332477031326,17.995454505849683,57.46617740631103,53.55342205047607,108.47049738679016,97.91372908532715,96.75236935290526
346864496489998,41117804010497,wc,19.31175495509609,28.921391491699218,28.398683282470703,4646.566921492434,2923.8900942500977,3342.8818197240967,7.274046639007028,11.221586122512818,10.399531164169312,67.6082653913277,113.28119714587402,98.72109835675049
238861203489998,41119736010497,wc,22.008232179863718,24.430365252685547,24.056070587158203,141.24538084481637,154.5621509874138,172.83836630829163,44.5386204545788,44.85786270141602,42.093733940124515,238.6247904597053,244.70688223327636,241.26770571435546
558629224126144,29883451010497,wc,74.10024577577136,77.09327995605469,76.59593474121094,265.09416733745525,353.521958919754,393.05173112547914,59.65420282459756,52.689642410278324,49.808456840515134,1022.8456240429969,1017.76284442041,1012.1792791420897
484818271489998,22932198010497,wc,43.807903106713766,55.07525445556641,53.36244742431641,827.1616560441028,904.625814275409,999.8655275827881,25.966435962096178,27.839981880187988,26.06587989807129,298.2105226124596,581.9451967211913,562.1551476457519
490388033126144,29395510010497,wc,34.64994272541251,42.32838348388672,32.9413674194336,2898.9023938210976,3147.8504598367676,1639.8784159790039,12.335756058579875,13.083804092407227,15.991533584594727,105.64505515011953,107.54526825640869,95.29312617395018
714228967290487,40403043010497,wc,63.92852466201977,72.76412739257812,71.96897062988282,740.34857911618,747.0451569750916,818.6349066429199,33.15587745560277,35.2136015701294,33.45435817718506,672.1992186591744,889.1342668051757,879.755870536621
823110912290487,30764330020004,wc,22.52778023849292,22.021285430908204,20.86510494995117,1830.712642782179,1126.4869756192018,1171.0470103898986,12.516428376493451,15.775508737564087,15.060807933807373,94.64057943970666,78.79679351574707,74.5746617434082
490388466126144,29395651010497,wc,24.78656882280106,22.009440374755858,21.180610510253906,391.5818959673736,467.6659351155029,530.5706108797393,28.387569602055564,24.477207489013672,22.543577938079835,171.15778723312513,104.63975264556885,99.39226625054931
30764994020004,24032447010900,wc,40.63667875380883,42.217594897460934,41.798806823730466,462.7392804241872,615.1910820892731,692.5371850664978,33.436609091123906,29.55744245529175,27.719514427185057,526.9911148955626,445.253900326416,437.5733748493652
174763305020004,22398412010497,wc,46.77598114230579,56.414432470703126,55.91435108642578,656.1178127145481,667.2274346185363,762.6008508796325,30.126719722935153,32.808271160125734,30.551892414093018,417.0935781000486,530.4860105336913,525.3417439785156
490388334126144,29395477010497,wc,50.29588501815169,51.16786436767578,50.82761241455078,170.87394849658918,166.16326708187714,185.51303680883788,61.215247279303966,62.61181777954101,59.059229393005374,591.7939530830572,600.6877214365234,598.0586875395508
558630558126144,29882854010497,wc,84.80972224266301,88.16575537109375,87.53250556640624,769.192369733718,668.964818911084,719.3719636210693,37.46594102484364,40.961273994445804,39.35799734115601,910.9633807719847,984.157550239746,980.2859870405273
346864030489998,41117891010497,wc,29.052157129625517,41.410855834960934,35.57956376953125,5558.583744638677,4398.233243583106,3602.215175669458,8.15714954175376,10.9482089138031,11.2134858417511,34.16511267880543,100.13293857519531,92.01839654107665
174763553020004,22398596010497,wc,33.365388471007016,44.9077083984375,41.695739770507814,639.4493637856165,728.1037543773559,771.6686711687805,25.7736734348362,28.021344356536865,26.22741558074951,230.20182219941836,203.0757847019043,186.55578043029783
558630279126144,29881787010497,wc,44.991761850976246,41.91958715820312,41.50871330566406,626.31935022981,569.7278548331451,631.3459884417755,30.241260818666593,30.605534973144533,28.930843105316164,446.2262745388982,344.1156605861816,340.9084385717773
48206539010497,41118192010497,wc,35.88496264507583,34.734823132324216,31.057982470703124,5907.40705939847,3901.286286192993,3367.9513120724855,8.794053611015078,10.646425008773804,10.834999980926513,102.61000337471914,126.01908517272949,117.18606615155028
