variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
log_lik[1255],-0.8815325606,-0.88123379,0.019843126010938125,0.019945580885999986,-0.9143683385,-0.8498596009999999,0.9997643643283851,4257.794533734536,3849.809672435466
log_lik[1256],-1.240204008625,-1.2400518,0.03188367371753135,0.03211319012999989,-1.2935624499999998,-1.1885757800000003,0.9998830271040388,4564.724729661637,3493.4827576467032
log_lik[1257],-0.723174396735,-0.722189575,0.016336825316942628,0.016343648664,-0.751696326,-0.6969860084999999,1.000059387406598,5145.78845461851,3707.669403762718
log_lik[1258],-0.6358129839,-0.63563118,0.007280631639480941,0.0072588392520000836,-0.6482054655,-0.6240159555,1.002814007969619,7772.963791740508,2885.7091136255867
log_lik[1259],-0.6665136212525,-0.6614783200000001,0.026697611573368744,0.02412209473800007,-0.7153295005,-0.6327239405,1.0025873159170378,3853.8464505202046,2618.5106113452052
log_lik[1260],-0.656798101055,-0.651901665,0.02320315917608526,0.01991359379099999,-0.6996078375,-0.6291208205000001,1.0021556389515534,3804.098054630268,2707.6692979928393
log_lik[1261],-0.7986496666225,-0.7984092549999999,0.018587101834868957,0.019121077374000078,-0.8289869055,-0.7685100324999999,1.0000519963382672,4256.23219728736,3838.889957593805
log_lik[1262],-0.74300937972,-0.7426215199999999,0.016473782321939863,0.016505607887999933,-0.770757436,-0.716520478,1.0008664319541285,4298.442821523831,3635.7330351864925
log_lik[1263],-1.175577830265,-1.1742963,0.05635606725480319,0.05700441326999989,-1.270947075,-1.0855145200000003,1.0018160577570658,2996.2014365727537,2962.701749756341
log_lik[1264],-0.8840810686375,-0.881751465,0.04442458063127898,0.04418231025599996,-0.9614605325000001,-0.8141433085,1.0002981214225404,5219.169365233795,3411.425701880163
log_lik[1265],-0.6743858943925,-0.673982445,0.012264986670981907,0.012077963835000061,-0.695305591,-0.6553561985,1.0002202930738426,3953.835639401317,3063.7533499421324
log_lik[1266],-0.94322905291,-0.94264997,0.028799895106095902,0.028224182070000076,-0.9914347525,-0.8971437910000001,1.000588155983325,3817.016448855453,3430.045605791054
log_lik[1267],-1.908925866,-1.9074110499999999,0.06928225981993578,0.06711767264999977,-2.02530528,-1.794997005,1.0009660811822658,3958.1340234224667,3620.0735982421597
