CN,SPCD,SW,DBH,HT,TPA,FVS_BdFt,FIA_VOLBFNET,FVS_MCuFt,FIA_VOLCFNET,BF_ratio,CF_ratio,BF_per_CF_FVS,BF_per_CF_FIA
224390477010661,241,True,13.7,44.0,6.018,83.00000308319832,61.342105,17.899999748475928,14.680996,1.3530674091343675,1.219263308053209,4.636871745781184,4.178334017664741
233168311020004,129,True,13.1,83.0,6.018,145.99999845840085,115.516194,28.80000085599322,30.217136,1.263892043209118,0.9531016061877347,5.069444240242742,3.822870373949404
14089751020004,129,True,15.3,64.0,6.018,172.0000115214253,146.632992,32.299998908710066,28.80888,1.1729966713181799,1.1211820420894554,5.325077935994714,5.089853961695145
513425772126144,71,True,14.2,75.0,6.018,177.00000584184946,110.371384,33.6000031115962,27.966561,1.6036766001036051,1.2014349247873632,5.267856828881135,3.9465483081741803
233191552020004,94,True,13.0,77.0,6.018,130.0000044625239,117.632143,27.400000620696506,26.899364,1.105140152573127,1.0186114668248851,4.744525602832606,4.373045511410605
70258233010538,97,True,15.3,70.0,6.018,192.0000090873214,180.248481,36.40000104666469,38.928876,1.0651962669650537,0.9350385828418136,5.274725372704741,4.630199983169305
1735143916290487,97,True,13.8,74.0,6.018,145.99999845840085,142.905133,30.699999002017385,33.20761,1.021656783024028,0.9244868571395949,4.755700430114241,4.303385067458935
639423268126144,97,True,13.0,75.0,6.018,130.0000044625239,122.055576,27.500001724156956,29.756949,1.0650886155543102,0.9241539421315322,4.727272593162326,4.101750350817216
70136567010538,97,True,14.3,52.0,6.018,125.0,129.489064,24.900000924959496,25.815029,0.9653324855294343,0.9645544432647934,5.0200801348043855,5.016034031958671
201973768010661,241,True,13.2,46.0,6.018,72.99999922920043,56.543452,17.200000898590037,14.561681,1.291042492934468,1.1811823716362169,4.244185779966126,3.883030537477095
366774474489998,129,True,13.2,61.0,6.018,109.00000600412305,97.623264,23.000000243410394,21.024167,1.116537201666634,1.09397914520991,4.73913064567693,4.643383207524941
201982262010661,129,True,15.3,74.0,6.018,197.99999415815054,160.318629,36.10000027180828,35.714265,1.2350404653108065,1.0108005938749762,5.484764339815684,4.488924215576045
75944274010538,95,True,16.1,60.0,6.018,203.00000876277417,182.98721,37.30000083570902,32.734824,1.109367199832022,1.1394593365068655,5.442359362320251,5.589986064993048
513426062126144,129,True,16.4,69.0,6.018,229.00001168369892,184.091333,39.30000008519364,37.896351,1.2439478162923558,1.0370391620341926,5.826972294841678,4.857758811659729
71999452010538,129,True,16.1,63.0,6.018,203.00000876277417,165.848698,35.29999905069946,31.017572,1.2240072500465102,1.1380645477569766,5.750708618184843,5.346927154710885
233181915020004,129,True,16.5,81.0,6.018,255.00001460462363,202.361188,45.200001801236915,44.286224,1.2601231348998783,1.020633454801586,5.641593018645532,4.569393588398957
245506775010661,129,True,17.6,88.0,6.018,328.0000087627742,245.620794,55.09999948072449,55.310418,1.335391859220088,0.9961956801831527,5.952813282285378,4.4407690789825525
366784932489998,129,True,16.7,75.0,6.018,250.0,201.650924,43.5999993590193,42.713614,1.2397662011209034,1.0207518230374817,5.733945038425415,4.720998883400501
1167705202290487,97,True,16.6,59.0,6.018,203.00000876277417,202.032968,37.399999403644536,39.245288,1.004786549306023,0.952980633079939,5.427807807477995,5.147954781221124
224421826010661,129,True,16.1,74.0,6.018,234.00000600412307,181.119672,40.09999877077751,37.857992,1.291963503578579,1.0592214920109209,5.835411799928741,4.784185912448817
224377301010661,97,True,16.0,55.0,6.018,166.00000616639664,177.12441,32.79999935496246,34.143773,0.9371944057083754,0.9606436686116223,5.0609758972840275,5.187605072233816
70333924010538,241,True,17.0,76.0,6.018,203.00000876277417,141.966568,43.00000288035633,39.369818,1.4299141806595914,1.092207306631601,4.720930120111936,3.6059747088493013
740876971290487,129,True,16.0,78.0,6.018,244.00001492917082,184.986809,41.20000076674274,41.017206,1.31901304881242,1.0044565387204272,5.922330349229782,4.5099807383272275
70330973010538,241,True,16.6,51.0,6.018,151.00000292092474,107.434306,29.900000316433513,23.504734,1.4055101069943592,1.2720841816986108,5.050167268323832,4.570751832375555
448827273489998,129,True,17.3,83.0,6.018,296.0000004868208,228.216082,50.80000274242377,49.837618,1.2970163973230457,1.0193104081022446,5.826771348569775,4.579193211039902
75215947010538,241,True,17.3,45.0,6.018,151.00000292092474,113.804489,29.200000198785155,21.716021,1.3268369661668156,1.3446293959093683,5.17123294153974,5.24057740596217
153165906010661,129,True,17.4,78.0,6.018,291.00000616639664,223.959806,48.90000206087467,46.663567,1.2993403207645067,1.0479267918132935,5.950920120701352,4.799457486822642
71981334010538,129,True,16.3,81.0,6.018,255.00001460462363,197.869681,44.099999805271686,44.150642,1.2887270718580863,0.998852968101159,5.782313281873101,4.481694309224315
72040447010538,94,True,16.1,75.0,6.018,229.00001168369892,203.362412,41.50000154159916,42.360266,1.126068526782122,0.9796917125496606,5.518072365711884,4.800782223605489
70129717010538,97,True,16.2,72.0,6.018,239.0000003245472,213.472047,41.90000341991603,43.587887,1.1195845249216503,0.961276315594652,5.704056821411738,4.897508498175193
366782265489998,97,True,18.7,74.0,6.018,337.9999974036225,298.220445,57.50000060852599,59.199593,1.1333897560364197,0.9712904716849318,5.878260762200836,5.037542149994173
448837358489998,241,True,16.7,49.0,6.018,145.99999845840085,106.922511,29.299998766720673,22.647704,1.365474838674532,1.2937293231455458,4.982935310708258,4.721119235751226
75344152010538,129,True,21.2,80.0,6.018,458.00002336739783,346.615392,74.19999725757623,68.939824,1.3213493512930836,1.0763009383020217,6.172507281604158,5.027796299566996
201965116010661,94,True,19.5,63.0,6.018,296.0000004868208,286.911843,53.29999990263585,45.559163,1.0316757837243435,1.169907355467348,5.5534709386028105,6.297566155901503
740909960290487,129,True,21.0,90.0,6.018,504.00000357001915,353.254092,80.10000150914445,77.867277,1.4267350753576526,1.0286734632976116,6.292134757481635,4.536618019916119
14123393020004,129,True,21.1,84.0,6.018,468.00001200824613,350.150887,76.50000235296714,71.552508,1.3365666899145856,1.0691449467147558,6.117647027629068,4.893621436721687
224407563010661,129,True,21.9,68.0,6.018,421.0000207710203,341.714971,69.60000227994402,60.920242,1.2320210014182267,1.1424774425542175,6.048850674999703,5.609218870141717
75229968010538,241,True,19.3,57.0,6.018,234.00000600412307,169.999677,44.200000908732136,34.765736,1.376473238852819,1.2713667534244677,5.294117674054032,4.88986273726522
740918496290487,241,True,19.7,52.0,6.018,229.00001168369892,170.798128,42.80000067343543,32.29032,1.3407641779522252,1.325474652262208,5.350467478516462,5.289452938218017
224378881010661,129,True,20.7,70.0,6.018,395.00001785009556,308.362758,63.60000199596523,52.282495,1.2809588953348756,1.216468380018307,6.210691909650479,5.898011523742316
1735161255290487,129,True,19.2,109.0,6.018,494.00001492917085,333.966071,78.09999972413489,78.534554,1.4791922228805419,0.9944667123739557,6.325224285199482,4.252473006977286
