PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,config,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
70390499010538,23,2005,2010,5,ne,dg_only,12.7852201461792,53.48700714111328,6.6201252937316895,162.2763214111328,0.0,133.0670917934465,234.416624880972,0.0
70390499010538,23,2005,2010,5,ne,dg_hg_organon,12.786802291870117,53.48704528808594,6.620532989501953,176.12002563476562,0.0,133.0670917934465,234.416624880972,0.0
70390499010538,23,2005,2010,5,ne,dg_hg_clim,12.785215377807617,53.486995697021484,6.620124340057373,163.4738006591797,0.0,133.0670917934465,234.416624880972,0.0
70390499010538,23,2005,2010,5,ne,full_dg_hg_organon_crw,12.786802291870117,53.48704528808594,6.620532989501953,176.12002563476562,0.0,133.0670917934465,234.416624880972,0.0
70390499010538,23,2005,2010,5,ne,full_dg_hg_clim_crw,12.785215377807617,53.486995697021484,6.620124340057373,163.4738006591797,0.0,133.0670917934465,234.416624880972,0.0
70390499010538,23,2005,2010,5,ne,hg_organon_crw,12.786802291870117,53.48704528808594,6.620532989501953,176.12002563476562,0.0,133.0670917934465,234.416624880972,0.0
29637309020004,54,2013,2020,7,ne,hg_organon_crw,117.8852767944336,135.8054656982422,12.615585327148438,3472.487060546875,14299.6201171875,123.94463690337759,3051.0507042801983,10511.855216824306
247062096010661,36,2013,2019,6,ne,dg_only,33.86655807495117,59.45756912231445,10.219231605529785,665.1813354492188,1251.5478515625,32.19281311605616,453.634283415954,345.22818170472397
247062096010661,36,2013,2019,6,ne,dg_hg_organon,33.86404037475586,59.45757293701172,10.218851089477539,699.3433227539062,1453.11474609375,32.19281311605616,453.634283415954,345.22818170472397
247062096010661,36,2013,2019,6,ne,dg_hg_clim,33.8665657043457,59.45756530761719,10.219232559204102,665.1279296875,1251.546142578125,32.19281311605616,453.634283415954,345.22818170472397
247062096010661,36,2013,2019,6,ne,full_dg_hg_organon_crw,33.86404037475586,59.45757293701172,10.218851089477539,699.3433227539062,1453.11474609375,32.19281311605616,453.634283415954,345.22818170472397
247062096010661,36,2013,2019,6,ne,full_dg_hg_clim_crw,33.8665657043457,59.45756530761719,10.219232559204102,665.1279296875,1251.546142578125,32.19281311605616,453.634283415954,345.22818170472397
247062096010661,36,2013,2019,6,ne,hg_organon_crw,33.86404037475586,59.45757293701172,10.218851089477539,699.3433227539062,1453.11474609375,32.19281311605616,453.634283415954,345.22818170472397
15802466020004,33,2013,2019,6,ne,dg_only,144.8702392578125,167.9112548828125,12.577259063720703,4431.9453125,21832.619140625,172.47709989881017,3451.1679369131,17997.593860042856
15802466020004,33,2013,2019,6,ne,dg_hg_organon,144.84548950195312,167.9224395751953,12.575762748718262,4465.81591796875,22160.67578125,172.47709989881017,3451.1679369131,17997.593860042856
15802466020004,33,2013,2019,6,ne,dg_hg_clim,144.87144470214844,167.9105987548828,12.577340126037598,4399.08544921875,21808.62109375,172.47709989881017,3451.1679369131,17997.593860042856
15802466020004,33,2013,2019,6,ne,full_dg_hg_organon_crw,144.84548950195312,167.9224395751953,12.575762748718262,4465.81591796875,22160.67578125,172.47709989881017,3451.1679369131,17997.593860042856
