variant,config,n,MCuFt_obs_mean,MCuFt_pred_mean,MCuFt_bias_pct,MCuFt_RMSE,MCuFt_MAE,BdFt_obs_mean,BdFt_pred_mean,BdFt_bias_pct,BdFt_RMSE,BdFt_MAE,BA_obs_mean,BA_pred_mean,BA_bias_pct,BA_RMSE
sn,hg_organon,109,1856.415087377556,2820.6182076690393,51.93898319656269,1661.129737304005,1086.4956991970075,6176.653651888056,8948.887030645248,44.882448247843506,7576.0268572706445,4166.222613209464,93.80965476440124,94.10598309543154,0.3158825515076363,49.112337577711855
sn,hg_conus_sp,109,1856.415087377556,2656.2420673195375,43.08449039120062,1497.9458989547554,965.8836787096863,6176.653651888056,8501.476103056462,37.63886696897379,7089.262599197724,3901.593976096773,93.80965476440124,94.08404977605977,0.29250188836922764,49.11099591689508
sn,hg_conus_clim,109,1856.415087377556,2475.1914721147728,33.33179033851338,1319.4202120613945,837.8330878916277,6176.653651888056,7972.523713418103,29.075129718194464,6473.16780656279,3595.4989140382745,93.80965476440124,94.07635927637783,0.28430390522851934,49.108523609740715
wc,default,89,3877.760056351516,4303.39837783642,10.976396561404986,1360.392313593175,945.5398319098301,21890.791545956075,24825.807523920295,13.407537008438648,9167.302077427037,6077.928293881627,143.78584343116808,141.8997365994887,-1.311747239276912,41.26152349110379
wc,calibrated,89,3877.760056351516,4290.999193855886,10.656645369986503,1347.2669504037488,938.6474023235689,21890.791545956075,24758.798741715676,13.101432123816522,9030.688138634587,5977.305153880937,143.78584343116808,141.37032413482666,-1.6799423633785977,41.79346080546483
wc,hg_bayes,89,3877.760056351516,4688.770544845067,20.914406170262364,1589.6090089224647,1057.9722352886404,21890.791545956075,27381.358305170295,25.081627348593987,10623.997503255092,7034.13018274652,143.78584343116808,141.9269672090357,-1.2928089287331306,41.267591723869586
wc,hg_organon,89,3877.760056351516,4688.770544845067,20.914406170262364,1589.6090089224647,1057.9722352886404,21890.791545956075,27381.358305170295,25.081627348593987,10623.997503255092,7034.13018274652,143.78584343116808,141.9269672090357,-1.2928089287331306,41.267591723869586
wc,hg_conus_sp,89,3877.760056351516,4405.008081329002,13.59671607617621,1380.3163786230941,937.8088525463738,21890.791545956075,25502.731395935745,16.49981382535667,9284.90307464029,6062.545540720284,143.78584343116808,141.91131661155006,-1.3036935868553494,41.260990552603666
wc,hg_conus_clim,89,3877.760056351516,4453.4199403912835,14.845165138489532,1480.4350132642473,970.7232237166743,21890.791545956075,25853.75538755267,18.103337347473293,9962.52353957306,6336.348262936411,143.78584343116808,141.91725184700707,-1.2995657566633294,41.2626510762122
pn,default,45,1286.7506602179367,2135.2437476264104,65.94075399695265,1291.5648376559059,921.4439643403629,5251.743981789662,11287.303291151258,114.92485791938451,8898.62247144796,6170.082835277792,90.37199648345062,90.939411883884,0.6278663994518457,28.43473634465036
pn,calibrated,45,1286.7506602179367,2102.946709865994,63.43078537918281,1236.4463107179768,888.941140447134,5251.743981789662,11114.89425523546,111.64196681666466,8549.778991429746,5999.441100794285,90.37199648345062,89.93484603034125,-0.48372335471134686,27.54931943536006
pn,hg_bayes,45,1286.7506602179367,2405.542996893989,86.94709637736364,1615.2031692213893,1154.9122170441515,5251.743981789662,12976.058830430773,147.08094826071203,11006.391629991855,7724.314848641111,90.37199648345062,91.0229760064019,0.720333231844114,28.398257957773055
pn,hg_organon,45,1286.7506602179367,2405.542996893989,86.94709637736364,1615.2031692213893,1154.9122170441515,5251.743981789662,12976.058830430773,147.08094826071203,11006.391629991855,7724.314848641111,90.37199648345062,91.0229760064019,0.720333231844114,28.398257957773055
pn,hg_conus_sp,45,1286.7506602179367,2251.612610880534,74.98437579967347,1397.3962305483253,1011.5743696081271,5251.743981789662,12002.322283935548,128.53974461728157,9609.147300528022,6789.442178767327,90.37199648345062,91.00109265645345,0.6961184852412097,28.392454232183407
