variant,config,n,MCuFt_obs_mean,MCuFt_pred_mean,MCuFt_bias_pct,MCuFt_RMSE,MCuFt_MAE,BdFt_obs_mean,BdFt_pred_mean,BdFt_bias_pct,BdFt_RMSE,BdFt_MAE,BA_obs_mean,BA_pred_mean,BA_bias_pct,BA_RMSE
wc,hg_conus_sp,105,3671.1194420153447,4363.771168954032,18.867588970584958,1569.8201724002445,1027.1242702431814,20800.65766774744,25064.191178966703,20.497109174726262,8983.800894390899,5947.7626423620795,128.9314862308671,140.16060249691918,8.70936696250054,48.05910681263064
wc,hg_conus_clim,105,3671.1194420153447,4398.454096476237,19.812339694989756,1599.8841589483554,1048.7497478098853,20800.65766774744,25302.294167073567,21.641798885552358,9192.865840257131,6089.271756241685,128.9314862308671,140.16699487595332,8.714324928332637,48.06351039437133
em,default,11,1633.3813100730258,2359.717351393266,44.468247361528036,1237.2987979677491,751.7808359828382,7045.849512309375,12805.87495838512,81.75061695559569,8462.753863883263,5760.025446075746,81.29416580241524,92.70862128517844,14.040928238941445,31.425928188205116
em,calibrated,11,1633.3813100730258,2354.537866419012,44.15114535097408,1237.7650331396374,752.0615838299618,7045.849512309375,12778.759600552645,81.3657753863129,8453.068027121752,5732.91008824327,81.29416580241524,92.44869201833552,13.721189098651019,31.5339094763859
em,hg_bayes,11,1633.3813100730258,2558.001637545499,56.607745036040285,1315.0781527500183,931.0480133922604,7045.849512309375,13994.933810147371,98.62663523678263,9228.081171647314,6949.084297837996,81.29416580241524,92.78632805564187,14.136515381876528,31.456705844149795
em,hg_organon,11,1633.3813100730258,2558.001637545499,56.607745036040285,1315.0781527500183,931.0480133922604,7045.849512309375,13994.933810147371,98.62663523678263,9228.081171647314,6949.084297837996,81.29416580241524,92.78632805564187,14.136515381876528,31.456705844149795
em,hg_conus_sp,11,1633.3813100730258,2454.403809287331,50.26520715959452,1265.7481536508944,832.2385928933259,7045.849512309375,13327.710321599787,89.15689723880355,8717.878094248108,6281.860809290411,81.29416580241524,92.77295060591264,14.120059773288643,31.458769266666298
em,hg_conus_clim,11,1633.3813100730258,2450.959044716575,50.05430940109121,1264.497562281245,830.6137884832584,7045.849512309375,13362.86406360973,89.65582560717884,8747.895727974286,6317.0145513003545,81.29416580241524,92.77475773204456,14.122282720180444,31.459039405903418
pn,default,105,3671.1194420153447,4969.579271516346,35.369588214438,2106.886699174185,1467.6747167685066,20800.65766774744,28719.193501209076,38.06868013476208,12426.276860430346,8751.521576010833,128.9314862308671,149.44729382651192,15.912178006626581,52.2921688640578
pn,calibrated,105,3671.1194420153447,4935.94209631057,34.45332341463868,2068.2009524547357,1441.6698032931067,20800.65766774744,28536.655119977677,37.19111951073223,12218.141420979895,8602.657185664852,128.9314862308671,148.46264371417817,15.148477733622189,51.39792863151886
pn,hg_bayes,105,3671.1194420153447,5321.478274899438,44.955193067161304,2362.1909565248816,1741.6359662220261,20800.65766774744,31016.451652599517,49.11284127661129,14110.355361642394,10540.286128035525,128.9314862308671,149.50414476848783,15.956271923200314,52.330079352934334
pn,hg_organon,105,3671.1194420153447,5321.478274899438,44.955193067161304,2362.1909565248816,1741.6359662220261,20800.65766774744,31016.451652599517,49.11284127661129,14110.355361642394,10540.286128035525,128.9314862308671,149.50414476848783,15.956271923200314,52.330079352934334
pn,hg_conus_sp,105,3671.1194420153447,4989.9346219744,35.92406078825541,2078.426636065367,1463.5848321694987,20800.65766774744,28871.052343168714,38.79874763736371,12239.396384977643,8762.874615374798,128.9314862308671,149.4800113223848,15.937553884024203,52.30787454713083
pn,hg_conus_clim,105,3671.1194420153447,5025.454373677571,36.891606308476135,2112.6770391957234,1484.7729595977303,20800.65766774744,29114.75562686012,39.97036099490326,12482.787147408337,8894.144306065695,128.9314862308671,149.48638569968088,15.942497887605041,52.31368978419021
