PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,model,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
222518063010661,23,2011,2016,5,ne,fvs_base,47.17333221435547,118.97718048095703,8.526145935058594,879.9383544921875,2217.822265625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,organon,45.82575988769531,115.67515563964844,8.52258014678955,882.5745239257812,2148.51416015625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,diag_dg_only,47.17333221435547,118.97718048095703,8.526145935058594,879.9383544921875,2217.822265625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,diag_hg_only,47.1667594909668,118.97724151611328,8.525551795959473,910.7194213867188,2217.42578125,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,diag_mort_only,45.874603271484375,115.80352020263672,8.522394180297852,855.3115234375,2150.812744140625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,diag_dg_mort,45.874603271484375,115.80352020263672,8.522394180297852,855.3115234375,2150.812744140625,118.7231359156662,1073.5815288184758,2755.308030180712
375840652489998,42,2017,2024,7,ne,fvs_base,80.13052368164062,82.5177001953125,13.343255043029785,2367.46875,10961.9580078125,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,organon,66.55521392822266,68.41475677490234,13.355264663696289,1949.1407470703125,9053.2421875,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,diag_dg_only,80.13052368164062,82.5177001953125,13.343255043029785,2367.46875,10961.9580078125,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,diag_hg_only,80.13047790527344,82.51766204833984,13.34325122833252,2456.571533203125,11026.9814453125,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,diag_mort_only,67.00393676757812,68.80941772460938,13.361723899841309,1974.7010498046875,9270.583984375,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,diag_dg_mort,67.00393676757812,68.80941772460938,13.361723899841309,1974.7010498046875,9270.583984375,92.50330828016808,2140.574482822014,9813.803074349174
171000830010661,24,2008,2013,5,ne,fvs_base,58.536922454833984,35.5721321105957,17.36985969543457,1722.68115234375,9909.572265625,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,organon,47.50127410888672,27.67722511291504,17.738937377929688,1362.60205078125,7917.8701171875,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,diag_dg_only,58.536922454833984,35.5721321105957,17.36985969543457,1722.68115234375,9909.572265625,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,diag_hg_only,58.52899932861328,35.572113037109375,17.368688583374023,1761.7825927734375,10088.806640625,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,diag_mort_only,47.709632873535156,27.745973587036133,17.755762100219727,1422.4454345703125,8273.873046875,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,diag_dg_mort,47.709632873535156,27.745973587036133,17.755762100219727,1422.4454345703125,8273.873046875,64.11581829788176,1208.595313598242,5996.798253493088
122562416010661,42,2007,2012,5,ne,fvs_base,128.25218200683594,225.31822204589844,10.2157564163208,3587.1669921875,11301.6826171875,147.20353270102603,3645.965953544226,11865.065848819337
122562416010661,42,2007,2012,5,ne,organon,115.34913635253906,203.5299072265625,10.193639755249023,3147.088623046875,10111.4033203125,147.20353270102603,3645.965953544226,11865.065848819337
122562416010661,42,2007,2012,5,ne,diag_dg_only,128.25218200683594,225.31822204589844,10.2157564163208,3587.1669921875,11301.6826171875,147.20353270102603,3645.965953544226,11865.065848819337
122562416010661,42,2007,2012,5,ne,diag_hg_only,128.2471160888672,225.31837463378906,10.215550422668457,3659.203369140625,11527.4794921875,147.20353270102603,3645.965953544226,11865.065848819337
122562416010661,42,2007,2012,5,ne,diag_mort_only,115.94624328613281,204.3327178955078,10.199895858764648,3226.31298828125,10333.884765625,147.20353270102603,3645.965953544226,11865.065848819337
122562416010661,42,2007,2012,5,ne,diag_dg_mort,115.94624328613281,204.3327178955078,10.199895858764648,3226.31298828125,10333.884765625,147.20353270102603,3645.965953544226,11865.065848819337
70445152010538,23,2005,2010,5,ne,fvs_base,55.58946228027344,88.92992401123047,10.70553970336914,1395.6619873046875,6299.904296875,83.67791077338723,1516.6263501680023,6208.308371830122
70445152010538,23,2005,2010,5,ne,organon,52.879390716552734,80.53032684326172,10.972354888916016,1374.8126220703125,6309.61767578125,83.67791077338723,1516.6263501680023,6208.308371830122
70445152010538,23,2005,2010,5,ne,diag_dg_only,55.58946228027344,88.92992401123047,10.70553970336914,1395.6619873046875,6299.904296875,83.67791077338723,1516.6263501680023,6208.308371830122
70445152010538,23,2005,2010,5,ne,diag_hg_only,55.591453552246094,88.92990112304688,10.705733299255371,1434.60693359375,6522.4501953125,83.67791077338723,1516.6263501680023,6208.308371830122
70445152010538,23,2005,2010,5,ne,diag_mort_only,53.00051498413086,80.70909881591797,10.972739219665527,1345.57470703125,6145.9912109375,83.67791077338723,1516.6263501680023,6208.308371830122
70445152010538,23,2005,2010,5,ne,diag_dg_mort,53.00051498413086,80.70909881591797,10.972739219665527,1345.57470703125,6145.9912109375,83.67791077338723,1516.6263501680023,6208.308371830122
70390499010538,23,2005,2010,5,ne,fvs_base,9.840916633605957,53.4882698059082,5.807976722717285,102.97003936767578,0.0,133.0670917934465,234.41662488097197,
70390499010538,23,2005,2010,5,ne,organon,9.600518226623535,52.10149383544922,5.812440395355225,114.54854583740234,0.0,133.0670917934465,234.41662488097197,
