PLOT,STATE,MEASYEAR1,MEASYEAR2,PERIOD_YR,variant,model,BA_PRED,TPA_PRED,QMD_PRED,MCuFt_PRED,BdFt_PRED,BA_OBS,MCuFt_OBS,BdFt_OBS
168997422010661,42,2010,2016,6,ne,conus_spdep,49.47728729248047,112.98536682128906,8.96041488647461,942.0785522460938,2993.947509765625,90.07323793044282,1152.400569355766,
168997422010661,42,2010,2016,6,ne,conus_climate,49.50184631347656,113.0267105102539,8.961002349853516,898.8342895507812,2797.87890625,90.07323793044282,1152.400569355766,
264094692489998,34,2015,2021,6,ne,fvs_base,55.160770416259766,118.1886215209961,9.250467300415039,1283.5924072265625,3554.891357421875,,,
264094692489998,34,2015,2021,6,ne,fvs_regional,55.26677322387695,118.56096649169922,9.244799613952637,1285.445556640625,3556.240234375,,,
264094692489998,34,2015,2021,6,ne,organon,48.65888977050781,102.97860717773438,9.307732582092285,1107.54150390625,3238.2529296875,,,
264094692489998,34,2015,2021,6,ne,conus_spdep,48.80839538574219,103.23027038574219,9.310648918151855,1147.659912109375,3307.484130859375,,,
264094692489998,34,2015,2021,6,ne,conus_climate,48.79628372192383,103.21289825439453,9.310276985168457,1141.1015625,3306.59423828125,,,
222095078010661,42,2011,2017,6,ne,fvs_base,37.1186637878418,71.21408081054688,9.775737762451172,1096.083251953125,4530.1474609375,121.33171079794222,653.349061683218,
222095078010661,42,2011,2017,6,ne,fvs_regional,37.126319885253906,71.24154663085938,9.774862289428711,1096.22412109375,4530.35302734375,121.33171079794222,653.349061683218,
222095078010661,42,2011,2017,6,ne,organon,26.03360366821289,55.344276428222656,9.286822319030762,724.3358154296875,2881.30029296875,121.33171079794222,653.349061683218,
222095078010661,42,2011,2017,6,ne,conus_spdep,26.298830032348633,55.77943801879883,9.297528266906738,766.7158203125,3078.1376953125,121.33171079794222,653.349061683218,
222095078010661,42,2011,2017,6,ne,conus_climate,26.183300018310547,55.63726806640625,9.28892707824707,737.7230834960938,2893.55224609375,121.33171079794222,653.349061683218,
68314232010538,42,2005,2010,5,ne,fvs_base,78.88959503173828,130.88116455078125,10.51253890991211,1976.450439453125,5494.77197265625,85.43051133133258,1281.5462597877138,3429.2622615091923
68314232010538,42,2005,2010,5,ne,fvs_regional,79.0759048461914,131.47438049316406,10.50117301940918,1980.130126953125,5499.39697265625,85.43051133133258,1281.5462597877138,3429.2622615091923
68314232010538,42,2005,2010,5,ne,organon,71.27543640136719,116.05610656738281,10.61138916015625,1719.489501953125,4934.55126953125,85.43051133133258,1281.5462597877138,3429.2622615091923
68314232010538,42,2005,2010,5,ne,conus_spdep,71.52737426757812,116.31668853759766,10.618212699890137,1800.607666015625,5155.59375,85.43051133133258,1281.5462597877138,3429.2622615091923
68314232010538,42,2005,2010,5,ne,conus_climate,71.55626678466797,116.43648529052734,10.614892959594727,1801.1947021484375,5146.44140625,85.43051133133258,1281.5462597877138,3429.2622615091923
222518063010661,23,2011,2016,5,ne,fvs_base,47.17333221435547,118.97718048095703,8.526145935058594,879.9383544921875,2217.822265625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,fvs_regional,47.21624755859375,119.19033813476562,8.522392272949219,880.5043334960938,2218.26220703125,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,organon,45.82575988769531,115.67515563964844,8.52258014678955,882.5745239257812,2148.51416015625,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,conus_spdep,45.81441879272461,115.63021087646484,8.523180961608887,862.1563720703125,2119.149658203125,118.7231359156662,1073.5815288184758,2755.308030180712
222518063010661,23,2011,2016,5,ne,conus_climate,45.80112075805664,115.6230697631836,8.522208213806152,853.9284057617188,2146.6806640625,118.7231359156662,1073.5815288184758,2755.308030180712
375840652489998,42,2017,2024,7,ne,fvs_base,80.13052368164062,82.5177001953125,13.343255043029785,2367.46875,10961.9580078125,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,fvs_regional,80.42605590820312,83.17913818359375,13.31457805633545,2374.357421875,10983.9716796875,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,organon,66.55521392822266,68.41475677490234,13.355264663696289,1949.1407470703125,9053.2421875,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,conus_spdep,66.50265502929688,68.42964172363281,13.348538398742676,1984.752197265625,9185.08984375,92.50330828016808,2140.574482822014,9813.803074349174
375840652489998,42,2017,2024,7,ne,conus_climate,66.36988067626953,68.33141326904297,13.34478759765625,1955.0128173828125,9170.7939453125,92.50330828016808,2140.574482822014,9813.803074349174
171000830010661,24,2008,2013,5,ne,fvs_base,58.536922454833984,35.5721321105957,17.36985969543457,1722.68115234375,9909.572265625,64.11581829788176,1208.595313598242,5996.798253493088
171000830010661,24,2008,2013,5,ne,fvs_regional,58.566978454589844,35.60737609863281,17.3657169342041,1723.478515625,9913.7080078125,64.11581829788176,1208.595313598242,5996.798253493088
