variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b1[4],0.0458325700854314,0.0467538695,0.045745431775646175,0.0460765889871,-0.030398157249999995,0.12105773099999997,1.0011688293030088,2542.8282164164243,2977.1833403508394
b1[5],-0.1499661767195125,-0.14936493,0.13675985391752146,0.13603628175899998,-0.38155596049999996,0.07243526414999976,1.0001141458775307,4891.883112525095,2950.4674066973957
b1[6],-0.11710389351495674,-0.11460187,0.07698439055060445,0.0782925781533,-0.241680464,0.008512581454999982,1.001133757751361,3243.9622528349264,2736.373719281779
b1[7],0.08942920106299235,0.088618769,0.0716814199719873,0.0723990585696,-0.028350014399999998,0.20929204199999998,1.000060588848709,4328.967070046086,2694.3327825337046
b1[8],-0.09522442867360251,-0.09486507799999999,0.10348664257443412,0.10466617149029998,-0.26818124249999997,0.07027747089999997,1.000377491962676,4215.64367601996,3443.9069600496364
b1[9],0.068584748454214,0.0684749675,0.11281054591936117,0.11047947566817,-0.115435996,0.2547557209999999,1.0021637119422202,4895.049810634824,2578.621836367327
b1[10],-0.109878554792715,-0.109449295,0.07073886777918822,0.06856035364499997,-0.228679221,0.007653033904999986,1.0003897151932621,4325.712961765458,2894.0826693701765
b1[11],-0.13995404485812574,-0.13848051,0.13567872946859422,0.13590447936029998,-0.364183372,0.0775496002499999,1.0004752983621437,4201.30970112096,3340.315575492383
b1[12],0.08983240065400375,0.0883603365,0.10667618744485294,0.10843617643739997,-0.0813723272,0.26533081399999997,1.0009395978803726,4088.1935048660584,3090.0446450560626
b1[13],-0.18205684800630875,-0.177960975,0.12363163951241266,0.12364415350139997,-0.3906044185,0.011040019599999952,1.0007020340711799,4078.962563756165,2855.5216552452493
b1[14],-0.28073816820325,-0.28082505999999996,0.05885404435686633,0.05783827198800005,-0.38010413000000004,-0.18445565650000006,1.0016385020729732,3968.589475419266,3131.8453301152545
b1[15],-0.07444070137929075,-0.0720339405,0.06420903151735281,0.0636703511451,-0.185321807,0.028257115749999985,1.0008685439584715,3903.358006721267,3121.328835768441
b1[16],2.3362097419824996e-4,1.01139548e-4,0.04836377945988674,0.0479279101245,-0.0769120971,0.08024322675,1.0013702547018484,3798.2958462043657,3108.59900704903
b1[17],0.06591316572021474,0.0638743495,0.08250760487199268,0.08087963924418,-0.06831581160000001,0.20287578099999987,1.0023504147938476,4317.275278700781,2909.338050479753
b1[18],-0.10156986311665225,-0.1007294,0.07834969384175317,0.07920995543579999,-0.23285471900000002,0.02668459954999998,1.0013740890349034,4995.634062044548,2727.4707050862844
b1[19],-0.05921718713749225,-0.0547817175,0.1467156990373307,0.14275955993040002,-0.30209884849999996,0.170814538,1.0000017471042917,6025.251633813196,3308.7977782324692
b1[20],-0.12481434999725,-0.12464098,0.03463977200261206,0.03482171500499998,-0.1817244435,-0.06829664085000005,0.9997591528039377,2200.945027931781,2993.6211649700012
b1[21],-0.12654717882223,-0.12353076,0.12602156897588726,0.12130791022769999,-0.3390923815,0.07715017839999982,1.0007131383951982,5417.840833668785,2987.054333959326
b1[22],-0.011827402898927501,-0.01209238,0.13077680183875684,0.13148465528099998,-0.220448505,0.2065374234999999,0.9999487943828419,5167.970020652145,3388.068140065289
b1[23],-0.0681583295721385,-0.067474702,0.08644416863135039,0.08581999306398,-0.2116376755,0.07334462149999996,1.0006659437775842,3909.733471151955,2976.8045297461463
b1[24],-0.1296453013808785,-0.126884785,0.08934651045976381,0.0904629613419,-0.28021371100000003,0.01569876474999984,1.0008950695037058,3477.820826724745,2987.4878153484674
b1[25],-0.10710139126705,-0.10692934000000001,0.03218433171549873,0.033228882212399995,-0.1594715275,-0.054659865300000006,1.001048133774673,2088.0386372544403,2595.61727377005
b1[26],-0.32049484113,-0.31987956,0.02682594741751572,0.026496070923000006,-0.364893351,-0.27747337200000005,1.0010470701927252,1580.7910992889833,2635.192098476214
b1[27],0.0316367593720165,0.0321540005,0.13852190129228703,0.1378694959026,-0.200700805,0.2570520865,1.0008594297367126,5849.276298033186,3199.1558153121837
b1[28],-0.1171938956700562,-0.117696705,0.12063797844462952,0.11794266842399999,-0.315890049,0.08055385499999976,1.0012843217563867,4340.5875212585715,3166.213978978326
b1[29],-0.00128516289364075,-0.0012133289,0.04332907956474265,0.043335774418440005,-0.0733862364,0.0695555055,1.004033995203321,3077.9290867124046,2856.560158570945
b1[30],-0.22128436706875,-0.221604715,0.033269739661186765,0.034132965762,-0.27551179449999996,-0.1670063965000001,1.00120635682493,2060.6355080651365,3043.4538980587336
b1[31],-0.034199852124527974,-0.034139295,0.05598825160406096,0.054311007208499996,-0.1258942555,0.05784322469999994,1.0000172057580652,3106.59507167585,2819.658569202204
b1[32],0.038841835649142176,0.039065142,0.0723334331747613,0.07023181412709,-0.07984179625,0.15588932899999997,1.0017886667303741,4717.404296237971,2901.406251521704
b1[33],-0.18671394418726575,-0.181718555,0.15019327254795142,0.1448952430065,-0.436262759,0.045958712799999885,1.0015060555507764,3360.204832630986,2773.7778408052445
b1[34],-0.349168646345,-0.347313475,0.0726034916077953,0.07243162980899998,-0.4685762,-0.23035294850000004,1.002471541925556,3183.4271191757443,2608.5669047211427
