scale,key,engine,scenario,year,total_TgC,total_lo,total_hi,mean_MgC_ha,n_plots
ecoregion,Blue Mountains,default,reserve (no harvest),2030,45.282,38.72,53.148,26.2,894
ecoregion,Blue Mountains,default,reserve (no harvest),2055,142.626,123.003,161.31,70.2,894
ecoregion,Blue Mountains,default,reserve (no harvest),2080,218.128,191.209,248.495,108.06,894
ecoregion,Blue Mountains,default,reserve (no harvest),2105,266.253,232.236,305.871,133.19,894
ecoregion,Blue Mountains,default,reserve (no harvest),2125,288.462,256.74,324.772,144.83,894
ecoregion,Blue Mountains,default,managed (harvest),2030,45.282,38.04,53.82,26.2,894
ecoregion,Blue Mountains,default,managed (harvest),2055,103.876,91.247,119.906,47.83,894
ecoregion,Blue Mountains,default,managed (harvest),2080,90.453,81.067,102.735,44.88,894
ecoregion,Blue Mountains,default,managed (harvest),2105,61.134,53.533,70.127,31.74,894
ecoregion,Blue Mountains,default,managed (harvest),2125,41.405,36.696,46.507,21.71,894
ecoregion,Blue Ridge,default,reserve (no harvest),2030,138.271,112.821,177.096,42.1,752
ecoregion,Blue Ridge,default,reserve (no harvest),2055,270.506,227.102,330.963,95.45,752
ecoregion,Blue Ridge,default,reserve (no harvest),2080,371.533,308.231,433.322,137.28,752
ecoregion,Blue Ridge,default,reserve (no harvest),2105,440.94,375.898,524.278,166.02,752
ecoregion,Blue Ridge,default,reserve (no harvest),2125,480.41,404.913,577.671,181.49,752
ecoregion,Blue Ridge,default,managed (harvest),2030,138.271,109.733,172.384,42.1,752
ecoregion,Blue Ridge,default,managed (harvest),2055,197.71,165.4,232.701,72.99,752
ecoregion,Blue Ridge,default,managed (harvest),2080,194.898,170.925,226.362,76.02,752
ecoregion,Blue Ridge,default,managed (harvest),2105,162.747,134.807,189.077,64.6,752
ecoregion,Blue Ridge,default,managed (harvest),2125,134.817,113.967,159.296,52.94,752
ecoregion,Boston Mountains,default,reserve (no harvest),2030,43.486,35.565,50.729,47.47,256
ecoregion,Boston Mountains,default,reserve (no harvest),2055,98.068,81.127,112.629,106.38,256
ecoregion,Boston Mountains,default,reserve (no harvest),2080,136.824,116.35,159.701,147.05,256
ecoregion,Boston Mountains,default,reserve (no harvest),2105,160.266,140.135,182.549,172.38,256
ecoregion,Boston Mountains,default,reserve (no harvest),2125,171.289,147.315,197.226,184.49,256
ecoregion,Boston Mountains,default,managed (harvest),2030,43.486,36.137,51.693,47.47,256
ecoregion,Boston Mountains,default,managed (harvest),2055,76.358,63.756,87.063,82.82,256
ecoregion,Boston Mountains,default,managed (harvest),2080,76.902,64.74,88.098,82.35,256
ecoregion,Boston Mountains,default,managed (harvest),2105,61.809,53.083,72.133,66.74,256
ecoregion,Boston Mountains,default,managed (harvest),2125,48.07,41.994,55.588,52.33,256
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,reserve (no harvest),2030,10.741,7.642,14.194,46.95,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,reserve (no harvest),2055,41.445,29.915,59.187,133.26,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,reserve (no harvest),2080,74.908,52.866,102.787,228.84,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,reserve (no harvest),2105,105.476,72.947,144.924,312.73,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,reserve (no harvest),2125,127.232,90.297,171.118,371.04,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,managed (harvest),2030,10.741,7.795,14.386,46.95,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,managed (harvest),2055,30.778,21.672,47.075,86.63,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,managed (harvest),2080,33.688,22.979,45.954,96.23,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,managed (harvest),2105,30.804,20.127,45.093,84.58,111
ecoregion,"California Coastal Sage, Chaparral, and Oak Woodlands",default,managed (harvest),2125,28.095,17.704,40.593,75.73,111
ecoregion,Canadian Rockies,default,reserve (no harvest),2030,23.586,19.111,27.39,33.72,369
ecoregion,Canadian Rockies,default,reserve (no harvest),2055,55.505,45.965,65.119,60.08,369
ecoregion,Canadian Rockies,default,reserve (no harvest),2080,80.795,68.68,96.094,81.6,369
ecoregion,Canadian Rockies,default,reserve (no harvest),2105,101.627,85.991,118.459,100.22,369
ecoregion,Canadian Rockies,default,reserve (no harvest),2125,115.218,95.338,135.581,113.0,369
ecoregion,Canadian Rockies,default,managed (harvest),2030,23.586,19.499,28.319,33.72,369
ecoregion,Canadian Rockies,default,managed (harvest),2055,36.581,31.162,43.157,33.23,369
ecoregion,Canadian Rockies,default,managed (harvest),2080,32.489,26.47,38.501,28.24,369
ecoregion,Canadian Rockies,default,managed (harvest),2105,27.219,22.888,32.868,24.21,369
ecoregion,Canadian Rockies,default,managed (harvest),2125,23.34,19.304,27.994,21.47,369
ecoregion,Cascades,default,reserve (no harvest),2030,81.29,64.847,96.862,30.36,821
ecoregion,Cascades,default,reserve (no harvest),2055,295.028,234.368,371.49,91.8,821
ecoregion,Cascades,default,reserve (no harvest),2080,525.035,437.44,675.814,157.93,821
ecoregion,Cascades,default,reserve (no harvest),2105,718.662,573.832,874.254,214.67,821
ecoregion,Cascades,default,reserve (no harvest),2125,839.118,624.082,1048.855,251.84,821
ecoregion,Cascades,default,managed (harvest),2030,81.29,64.891,100.74,30.36,821
ecoregion,Cascades,default,managed (harvest),2055,228.692,178.208,283.945,66.78,821
ecoregion,Cascades,default,managed (harvest),2080,272.605,210.53,341.879,77.96,821
ecoregion,Cascades,default,managed (harvest),2105,245.95,185.959,311.768,70.8,821
ecoregion,Cascades,default,managed (harvest),2125,208.254,159.625,262.144,61.65,821
ecoregion,Central Appalachians,default,reserve (no harvest),2030,152.575,131.951,174.843,43.17,829
ecoregion,Central Appalachians,default,reserve (no harvest),2055,324.849,284.141,377.377,102.02,829
ecoregion,Central Appalachians,default,reserve (no harvest),2080,456.512,405.282,510.221,147.51,829
ecoregion,Central Appalachians,default,reserve (no harvest),2105,547.776,478.58,620.584,179.59,829
ecoregion,Central Appalachians,default,reserve (no harvest),2125,593.519,526.467,661.461,195.79,829
ecoregion,Central Appalachians,default,managed (harvest),2030,152.575,129.302,178.045,43.17,829
ecoregion,Central Appalachians,default,managed (harvest),2055,236.866,210.968,269.404,76.91,829
ecoregion,Central Appalachians,default,managed (harvest),2080,232.396,206.759,260.176,77.78,829
ecoregion,Central Appalachians,default,managed (harvest),2105,190.899,172.718,213.522,64.96,829
ecoregion,Central Appalachians,default,managed (harvest),2125,149.779,133.011,174.068,51.22,829
ecoregion,Central Basin and Range,default,reserve (no harvest),2030,1.312,0.706,1.871,1.18,894
ecoregion,Central Basin and Range,default,reserve (no harvest),2055,4.28,2.263,6.746,2.95,894
ecoregion,Central Basin and Range,default,reserve (no harvest),2080,6.922,3.271,11.045,4.55,894
ecoregion,Central Basin and Range,default,reserve (no harvest),2105,9.633,5.291,15.229,6.02,894
ecoregion,Central Basin and Range,default,reserve (no harvest),2125,11.72,6.479,19.616,7.07,894
ecoregion,Central Basin and Range,default,managed (harvest),2030,1.312,0.732,1.941,1.18,894
ecoregion,Central Basin and Range,default,managed (harvest),2055,3.625,1.78,5.91,2.22,894
ecoregion,Central Basin and Range,default,managed (harvest),2080,4.541,2.375,7.325,2.52,894
ecoregion,Central Basin and Range,default,managed (harvest),2105,5.127,2.579,8.304,2.6,894
ecoregion,Central Basin and Range,default,managed (harvest),2125,5.309,2.549,8.579,2.55,894
ecoregion,Central California Valley,default,reserve (no harvest),2030,0.045,0.045,0.045,30.78,2
ecoregion,Central California Valley,default,reserve (no harvest),2055,0.105,0.105,0.105,69.3,2
ecoregion,Central California Valley,default,reserve (no harvest),2080,0.177,0.177,0.177,115.81,2
ecoregion,Central California Valley,default,reserve (no harvest),2105,0.248,0.248,0.248,166.14,2
ecoregion,Central California Valley,default,reserve (no harvest),2125,0.311,0.311,0.311,211.32,2
ecoregion,Central California Valley,default,managed (harvest),2030,0.045,0.045,0.045,30.78,2
ecoregion,Central California Valley,default,managed (harvest),2055,0.06,0.06,0.06,38.73,2
ecoregion,Central California Valley,default,managed (harvest),2080,0.073,0.073,0.073,46.77,2
ecoregion,Central California Valley,default,managed (harvest),2105,0.071,0.071,0.071,50.66,2
ecoregion,Central California Valley,default,managed (harvest),2125,0.077,0.077,0.077,55.59,2
ecoregion,Central Corn Belt Plains,default,reserve (no harvest),2030,12.548,7.084,20.035,51.1,42
ecoregion,Central Corn Belt Plains,default,reserve (no harvest),2055,27.545,16.126,42.405,112.0,42
ecoregion,Central Corn Belt Plains,default,reserve (no harvest),2080,39.066,23.766,59.565,152.0,42
ecoregion,Central Corn Belt Plains,default,reserve (no harvest),2105,45.324,24.158,70.571,177.6,42
ecoregion,Central Corn Belt Plains,default,reserve (no harvest),2125,47.468,27.634,71.097,188.68,42
