PLOT,YEAR_PREV,YEAR_CURR,PERIOD_YR,variant,config,BA_PRED_ft2ac,TPA_PRED,QMD_PRED_in,BA_OBS_PREV,BA_OBS_CURR
1170,1995,2000,5,ACD,osm,61.7870694,405.0474473869418,5.292135433070866,56.44,69.03
1171,1989,1999,10,ACD,osm,55.766082149999995,646.576934300386,3.979331102362204,49.0,54.59
1193,1990,2000,10,ACD,osm,80.8305603,403.58562572263355,6.063942125984251,78.0,53.79
1194,1990,2000,10,ACD,osm,66.8621709,444.8888945518439,5.252905511811024,64.18,50.6
1195,1990,2000,10,ACD,osm,45.54092429999999,740.8533513553837,3.3594633858267717,35.43,55.61
1196,1990,2000,10,ACD,osm,67.05944339999999,550.4330548807291,4.7294736220472435,64.41,40.53
1197,1987,2002,15,ACD,osm,46.80269834999999,604.3148033104632,3.770846850393701,36.72,65.19
1199,1987,2002,15,ACD,osm,72.25308675,600.643859381182,4.699533858267716,74.45,94.98
1200,1992,2002,10,ACD,osm,70.6382319,454.62421470427887,5.34107559055118,73.98,47.32
1202,1990,2000,10,ACD,osm,20.553673004999997,761.0389093158263,2.2267751968503937,25.09,79.52
1203,1994,1999,5,ACD,osm,52.94115299999999,309.93493360766024,5.600109448818897,56.67,55.7
1205,1989,1999,10,ACD,osm,109.43704769999998,181.88911845069097,10.51027125984252,101.37,60.43
1206,1989,1999,10,ACD,osm,57.529369875,619.1301423298785,4.1303692913385825,52.34,29.34
1208,1987,2002,15,ACD,osm,61.77040019999999,681.8911389044628,4.078192913385827,88.25,82.08
1209,1987,2002,15,ACD,osm,42.81123839999999,884.7962707220275,2.980522283464567,33.03,35.01
1217,1987,2001,14,ACD,osm,74.8418892,830.1454981663536,4.068462992125984,69.12,100.78
1218,1987,1996,9,ACD,osm,43.436598749999995,753.4720162401811,3.253339763779528,37.61,48.36
1219,1987,2001,14,ACD,osm,36.38176005,1198.5494538327425,2.3607444881889763,28.33,41.93
1220,1987,2001,14,ACD,osm,45.4244748,1104.0629644608607,2.748420275590551,37.45,52.98
1221,1987,2001,14,ACD,osm,49.76423055,890.1023065201964,3.2038618110236223,41.02,57.8
1222,1987,2001,14,ACD,osm,39.73857675,1124.9679725560695,2.5466612992125985,24.36,50.05
1223,1991,2001,10,ACD,osm,22.353330644999996,867.3991991794076,2.175187677165354,13.86,27.7
1224,1991,2001,10,ACD,osm,24.021309,837.5125574718629,2.294762598425197,16.2,25.09
1225,1987,1995,8,ACD,osm,35.800065,691.2133154847395,3.0836917322834645,28.65,53.25
1227,1987,2001,14,ACD,osm,27.78780609,785.1861373709322,2.5490357086614175,17.05,29.19
1228,1987,2001,14,ACD,osm,52.53666824999999,1035.547378522254,3.051977834645669,39.89,98.48
1230,1987,2001,14,ACD,osm,74.41910399999999,974.9620933660194,3.7435484251968507,60.47,60.47
1231,1987,1996,9,ACD,osm,46.9185867,709.0372899113536,3.485563779527559,42.85,47.31
1232,1991,2001,10,ACD,osm,44.172523049999995,752.2233182224998,3.2835059055118108,41.32,33.05
1234,1991,2001,10,ACD,osm,60.053268149999994,835.552826780774,3.632590551181102,40.97,21.66
1235,1991,2001,10,ACD,osm,60.61756319999999,659.6700931007045,4.107437401574803,51.77,42.94
1236,1996,2001,5,ACD,osm,32.665592894999996,351.23476260891164,4.132202755905512,31.45,48.99
1239,1996,2001,5,ACD,osm,19.451396055,447.42874211107727,2.8251957874015745,16.99,78.31
1240,1996,2001,5,ACD,osm,30.277666049999997,416.01303617291074,3.6554665354330704,27.67,33.48
1243,1991,2001,10,ACD,osm,41.23943332499999,798.2786082056589,3.0797409448818898,32.4,48.55
1244,1987,2001,14,ACD,osm,86.2113972,406.520163188739,6.239882283464567,102.49,40.8
1245,1991,2001,10,ACD,osm,40.75200495,840.5369351505448,2.983535433070866,26.66,78.88
1247,1987,1992,5,ACD,osm,29.188431705,409.4505526270116,3.6177602362204726,28.11,44.17
1251,1988,2001,13,ACD,osm,54.00400155,765.0621725652377,3.599976771653543,42.89,16.05
1253,1987,2001,14,ACD,osm,46.2140694,701.1882904745062,3.478603149606299,33.17,48.57
1262,1987,1992,5,ACD,osm,63.70053434999999,290.5748129516849,6.344211811023623,76.36,91.94
1263,1987,1992,5,ACD,osm,70.0754115,248.76374457859762,7.191580708661418,71.86,74.43
1272,1992,2002,10,ACD,osm,26.620489244999995,785.6864502304278,2.4941266141732283,24.73,29.84
1273,1987,2002,15,ACD,osm,53.9476908,609.1473973757809,4.03236968503937,71.81,44.71
1275,1992,2002,10,ACD,osm,40.8351378,917.8458949407195,2.8580329527559054,25.77,31.09
1278,1987,2002,15,ACD,osm,25.73252505,1209.836379206072,1.9761185039370077,27.67,27.48
1284,1987,2001,14,ACD,osm,70.64227304999999,604.8507689750396,4.630664763779527,68.31,97.7
1285,1987,1996,9,ACD,osm,31.67716719,591.6317529399859,3.135324803149606,29.1,52.64
1286,1987,2001,14,ACD,osm,45.8869407,705.0122865136807,3.4568562992125984,41.78,55.7
1287,1996,2001,5,ACD,osm,34.666391925,308.1669834424266,4.54460748031496,33.44,37.71
