"PLOT","YEAR_PREV","YEAR_CURR","tree_idx","SP","DBH_cm","HT_m","EXPF_ha"
1100,1990,2000,38,"BF",13.9706419609179,6.11806628447472,12.3552690735
1100,1990,2000,39,"PB",13.8513285643157,4.04835581771323,12.3552690735
1100,1990,2000,40,"PB",13.8225038034723,4.68793451087663,12.3552690735
1100,1990,2000,41,"PB",13.5560303565199,5.00326862690335,12.3552690735
1100,1990,2000,42,"PB",13.3689437664431,3.39280614094961,12.3552690735
1100,1990,2000,43,"PB",13.080951960576,4.04233163076566,12.3552690735
1101,1990,2000,1,"YB",35.3562497304016,10.4249219656663,12.3552690735
1101,1990,2000,2,"YB",35.0491899273326,10.4208538964896,12.3552690735
1101,1990,2000,3,"YB",34.5519167978306,8.93723811649069,12.3552690735
1101,1990,2000,4,"RS",33.9656010184673,19.9604836326599,12.3552690735
1101,1990,2000,5,"YB",32.3831457716888,9.22482660247289,12.3552690735
1101,1990,2000,6,"RS",29.9176440665857,19.3796853469471,12.3552690735
1101,1990,2000,7,"RS",28.008972414425,19.3761549144226,12.3552690735
1101,1990,2000,8,"BF",27.2276067735454,21.0905194203542,12.3552690735
1101,1990,2000,9,"BF",27.1541101489816,21.0873147790852,12.3552690735
1101,1990,2000,10,"RS",26.3491941213619,17.6544546678695,12.3552690735
1101,1990,2000,11,"RS",26.2696593238575,18.7954590960398,12.3552690735
1101,1990,2000,12,"RS",25.4427886504781,19.9391443511799,12.3552690735
1101,1990,2000,13,"BF",25.2634153035709,20.1412325350639,12.3552690735
1101,1990,2000,14,"YB",25.1298545440576,8.89663228990756,12.3552690735
1101,1990,2000,15,"RS",24.90938516916,10.814120066875,12.3552690735
1101,1990,2000,16,"RS",24.8674530497865,19.3601331953523,12.3552690735
1101,1990,2000,17,"RS",24.5848356108009,18.7842846728805,12.3552690735
1101,1990,2000,18,"BF",23.9092685726632,19.1919431365726,12.3552690735
1101,1990,2000,19,"RS",23.5173543184215,19.3534928135796,12.3552690735
1101,1990,2000,20,"BF",23.4551480429729,15.4349440683165,12.3552690735
1101,1990,2000,21,"RS",23.245934398169,18.7774790255056,12.3552690735
1101,1990,2000,22,"RS",23.1981018544956,19.9233493137317,12.3552690735
1101,1990,2000,23,"BF",22.8824928660696,16.3683597621357,12.3552690735
1101,1990,2000,24,"RS",22.4908986517874,17.0573097013072,12.3552690735
1101,1990,2000,25,"RS",22.2781405094336,15.3455386266593,12.3552690735
1101,1990,2000,26,"RS",21.9079170051873,18.7699453347673,12.3552690735
1101,1990,2000,27,"BF",21.5328023225962,18.5450329975464,12.3552690735
1101,1990,2000,28,"RS",21.1902902724343,16.4798789948227,12.3552690735
1101,1990,2000,29,"BF",20.9780803748258,20.0963634765225,12.3552690735
1101,1990,2000,30,"RS",20.3409183200298,18.7639030686389,12.3552690735
1101,1990,2000,31,"RS",20.2173961773526,14.1958406765408,12.3552690735
1101,1990,2000,32,"BF",19.7629741189151,16.9717102487506,12.3552690735
1101,1990,2000,33,"RS",19.4556714169598,13.6228800365172,12.3552690735
1101,1990,2000,34,"RS",18.9335899814949,13.6203072113469,12.3552690735
1101,1990,2000,35,"RS",18.8400154191533,16.46957613605,12.3552690735
1101,1990,2000,36,"RS",17.9210187034339,13.0475104897956,12.3552690735
1101,1990,2000,37,"RS",17.1643221409068,12.4748924543382,12.3552690735
1101,1990,2000,38,"RS",17.1161453872544,13.6132645691958,12.3552690735
1101,1990,2000,39,"RM",17.0235849985236,9.09268270778452,12.3552690735
1101,1990,2000,40,"YB",16.9007153382078,7.3461493959012,12.3552690735
1101,1990,2000,41,"RS",16.5631864875513,14.1790166894473,12.3552690735
1101,1990,2000,42,"RS",16.358553871579,12.4675182998776,12.3552690735
1101,1990,2000,43,"RS",16.2926805147928,14.1762652507918,12.3552690735
1101,1990,2000,44,"RS",14.5449746625343,12.4627384441139,12.3552690735
1101,1990,2000,45,"RS",14.4635504159426,14.7423485950712,12.3552690735
1101,1990,2000,46,"RS",14.2784934906057,12.4606091451163,12.3552690735
1101,1990,2000,47,"RS",14.1090431014539,10.1708784407589,12.3552690735
1101,1990,2000,48,"RS",13.4359552175767,14.1685736330834,12.3552690735
1101,1990,2000,49,"RS",13.3230307154382,10.1676369286589,12.3552690735
1102,1990,2000,1,"YB",58.6170603734326,8.98814982705641,12.3552690735
1102,1990,2000,2,"YB",39.3363042669479,11.0147885418758,12.3552690735
1102,1990,2000,3,"BF",30.1073274473436,22.3513508831881,12.3552690735
